_id,ilce_adi,mahalle_adi,arkeolojik_alan
656,Selçuklu,EĞRİBAYAT,VAR
657,Selçuklu,GÜVENÇ,YOK
658,Selçuklu,KALE,YOK
659,Selçuklu,KARAÖMERLER,YOK
660,Selçuklu,KERVAN,YOK
661,Selçuklu,KINIK,YOK
662,Selçuklu,KIZILCAKUYU,YOK
663,Selçuklu,MEYDAN,YOK
664,Selçuklu,SELAHATTİN,YOK
665,Selçuklu,SIZMA,YOK
666,Selçuklu,TEPEKENT,YOK
667,Selçuklu,ULUMUHSİNE,YOK
668,Selçuklu,YAZIBELEN,YOK
669,Selçuklu,SİLLE,VAR
670,Selçuklu,ARDIÇLI,YOK
671,Selçuklu,AŞAĞIPINARBAŞI,VAR
672,Selçuklu,YUKARIPINARBAŞI,YOK
673,Selçuklu,KÜÇÜKMUHSİNE,YOK
674,Selçuklu,SARICALAR,YOK
675,Selçuklu,TÖMEK,YOK
676,Selçuklu,YÜKSELEN,YOK
677,Selçuklu,Mehmet Fatih,""
678,Seydişehir,KESECİK,YOK
679,Seydişehir,AKÇALAR,VAR
680,Seydişehir,AŞAĞIKARAÖREN,YOK
681,Seydişehir,BAŞKARAÖREN,YOK
682,Seydişehir,BOSTANDERE,VAR
683,Seydişehir,BOYALI,YOK
684,Seydişehir,BÜKÇE,VAR
685,Seydişehir,ÇAT,YOK
686,Seydişehir,ÇATMAKAYA,YOK
687,Seydişehir,ÇAVUŞ,YOK
688,Seydişehir,DİKİLİTAŞ,YOK
689,Seydişehir,GEVREKLİ,YOK
690,Seydişehir,GÖKÇEHÜYÜK,YOK
691,Seydişehir,GÖKHÜYÜK,YOK
692,Seydişehir,GÖLYÜZÜ,YOK
693,Seydişehir,IRMAKLI,YOK
694,Seydişehir,İNCESU,YOK
695,Seydişehir,KARABULAK,YOK
696,Seydişehir,KARACAÖREN,YOK
697,Seydişehir,KAVAK,YOK
698,Seydişehir,KETENLİ,YOK
699,Seydişehir,KIZILCA,VAR
700,Seydişehir,KOZLU,YOK
701,Seydişehir,KUMLUCA,YOK
702,Seydişehir,KURAN,YOK
703,Seydişehir,MADENLİ,VAR
704,Seydişehir,MESUDİYE,YOK
705,Seydişehir,MURADİYE,YOK
706,Seydişehir,OĞLAKÇI,YOK
707,Seydişehir,ORTAKARAÖREN,YOK
708,Seydişehir,SARAYCIK,YOK
709,Seydişehir,SUSUZ,YOK
710,Seydişehir,TARAŞÇI,YOK
711,Seydişehir,TAŞAĞIL,YOK
712,Seydişehir,TEPECİK,YOK
713,Seydişehir,TOL,YOK
714,Seydişehir,UFACIK,YOK
715,Seydişehir,YAYLACIK,YOK
716,Seydişehir,YENİCE,VAR
717,Taşkent,AFŞAR,YOK
718,Taşkent,BALCILAR,VAR
719,Taşkent,BOLAY,YOK
720,Taşkent,ÇETMİ,YOK
721,Taşkent,KECİMEN,YOK
722,Taşkent,KONGUL,YOK
723,Taşkent,SAZAK,YOK
724,Taşkent,ILICAPINAR,YOK
725,Tuzlukçu,KONARI,YOK
726,Tuzlukçu,MEVLÜTLÜ,YOK
727,Tuzlukçu,KORAŞI,YOK
728,Tuzlukçu,ÇÖĞÜRLÜ,YOK
729,Tuzlukçu,TURSUNLU,YOK
730,Tuzlukçu,KUNDULLU,YOK
731,Tuzlukçu,PAZARKAYA,YOK
732,Tuzlukçu,SUBATAN,VAR
733,Tuzlukçu,GÜRSU,YOK
734,Tuzlukçu,ERDOĞDU,YOK
735,Tuzlukçu,KÖKLÜCE,YOK
736,Yalıhüyük,SARAY,YOK
737,Yalıhüyük,ARASÖĞÜT,YOK
738,Yunak,KUZÖREN,YOK
739,Yunak,KOÇYAZI,VAR
740,Yunak,TURGUT,YOK
741,Yunak,PİRİBEYLİ,YOK
742,Yunak,SÜLÜKLÜ,YOK
743,Yunak,ALTINÖZ,YOK
744,Yunak,AYRITEPE,VAR
745,Yunak,BEŞIŞIKLI,YOK
746,Yunak,CEBRAİL,VAR
747,Yunak,ÇAYIRBAŞI,YOK
748,Yunak,EĞRİKUYU,YOK
749,Yunak,HACIÖMEROĞLU,VAR
750,Yunak,HATIRLI,YOK
751,Yunak,HACIFAKILI,YOK
752,Yunak,HARUNLAR,VAR
753,Yunak,HURSUNLU,VAR
754,Yunak,İMAMOĞLU,YOK
755,Yunak,KARGALI,YOK
756,Yunak,KARAYAYLA,YOK
757,Yunak,KILLAR,YOK
758,Yunak,KURTUŞAĞI,YOK
759,Yunak,KUYUBAŞI,VAR
760,Yunak,MEŞELİK,YOK
761,Yunak,ODABAŞI,YOK
762,Yunak,ORTAKIŞLA,VAR
763,Yunak,ÖZYAYLA,YOK
764,Yunak,SERTLER,YOK
765,Yunak,SEVİNÇ,YOK
766,Yunak,SIRAM,YOK
767,Yunak,SİNANLI,YOK
768,Yunak,YAVAŞLI,YOK
769,Yunak,YEŞİLOBA,VAR
770,Yunak,YEŞİLYAYLA,YOK
771,Yunak,YIĞAR,YOK
772,Yunak,SARAY,VAR
773,"","",""
