_id,ilce_adi,mahalle_adi,arkeolojik_alan
151,Bozkır,KINIK,YOK
152,Bozkır,KIZILÇAKIR,YOK
153,Bozkır,KİLDERE,VAR
154,Bozkır,KOVANLIK,YOK
155,Bozkır,KOZAĞAÇ,VAR
156,Bozkır,KUŞÇA,YOK
157,Bozkır,KÜÇÜKHİSARLIK,VAR
158,Bozkır,PINARCIK,YOK
159,Bozkır,SARIOĞLAN,YOK
160,Bozkır,SAZLI,YOK
161,Bozkır,SOĞUCAK,VAR
162,Bozkır,SORKUN,VAR
163,Bozkır,SÖĞÜT,YOK
164,Bozkır,TARLABAŞI,YOK
165,Bozkır,TAŞBAŞI,YOK
166,Bozkır,TEPEARASI,YOK
167,Bozkır,TEPELİCE,YOK
168,Bozkır,ULUPINAR,YOK
169,Bozkır,ÜÇPINAR,VAR
170,Bozkır,YALNIZCA,YOK
171,Bozkır,YAZDAMI,YOK
172,Bozkır,YELBEYİ,YOK
173,Bozkır,YENİKÖY,YOK
174,Bozkır,YOLÖREN,YOK
175,Çeltik,GÖKPINAR,YOK
176,Çeltik,ADAKASIM,VAR
177,Çeltik,DOĞANYURT,YOK
178,Çeltik,KAŞÖREN,YOK
179,Çeltik,KÜÇÜKHASAN,VAR
180,Çeltik,TORUNLAR,VAR
181,Çeltik,İSHAKUŞAĞI,YOK
182,Çeltik,HONAMLI,YOK
183,Cihanbeyli,BÖĞRÜDELİK,YOK
184,Cihanbeyli,YAPALI,YOK
185,Cihanbeyli,YENİCEOBA,VAR
186,Cihanbeyli,CUMHURİYET,YOK
187,Cihanbeyli,GEMECİK,YOK
188,Cihanbeyli,GÖKTEPE,YOK
189,Cihanbeyli,AĞABEYLİ,YOK
190,Cihanbeyli,HODOĞLU,VAR
191,Cihanbeyli,KAYI,VAR
192,Cihanbeyli,KIRKIŞLA,VAR
193,Cihanbeyli,KORKMAZLAR,YOK
194,Cihanbeyli,KÜÇÜKBEŞKAVAK,YOK
195,Cihanbeyli,MUTLUKONAK,YOK
196,Cihanbeyli,SAĞLIK,YOK
197,Cihanbeyli,SIĞIRCIK,YOK
198,Cihanbeyli,TURANLAR,VAR
199,Cihanbeyli,TÜFEKÇİPINAR,YOK
200,Cihanbeyli,UZUNCAYAYLA,YOK
201,Cihanbeyli,YÜNLÜKUYU,VAR
202,Cihanbeyli,ZAFERİYE,YOK
203,Cihanbeyli,GÖLYAZI,VAR
204,Cihanbeyli,GÜNYÜZÜ,YOK
205,Cihanbeyli,İNSUYU,YOK
206,Cihanbeyli,KANDİL,YOK
207,Cihanbeyli,KARABAĞ,YOK
208,Cihanbeyli,KELHASAN,YOK
209,Cihanbeyli,KUŞCA,YOK
210,Cihanbeyli,KÜTÜKUŞAĞI,YOK
211,Cihanbeyli,TAŞPINAR,YOK
212,Cihanbeyli,BEYLİOVA,YOK
213,Cihanbeyli,ÇİMEN,VAR
214,Cihanbeyli,ÇÖL,YOK
215,Cihanbeyli,DAMLAKUYU,YOK
216,Cihanbeyli,BULDUK,YOK
217,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
218,Cihanbeyli,KARATEPE,VAR
219,Çumra,ARIKÖREN,VAR
220,Çumra,DEDEMOĞLU,YOK
221,Çumra,TÜRKMENCAMİLİ,YOK
222,Çumra,A.B.HÜYÜĞÜ,VAR
223,Çumra,DİNEK,VAR
224,Çumra,İÇERİÇUMRA,YOK
225,Çumra,GÜVERCİNLİK,VAR
226,Çumra,KARKIN,YOK
227,Çumra,OKÇU,YOK
228,Çumra,YENİSU,YOK
229,Çumra,APA,VAR
230,Çumra,ABDİTOLU,YOK
231,Çumra,ADAKALE,VAR
232,Çumra,ALEMDAR,YOK
233,Çumra,APASARAYCIK,YOK
234,Çumra,AFŞAR,YOK
235,Çumra,AVDUL,YOK
236,Çumra,BALÇIKHİSAR,YOK
237,Çumra,BEYLERCE,YOK
238,Çumra,B.AŞLAMA,YOK
239,Çumra,CİCEK,YOK
240,Çumra,ÇUKURKAVAK,YOK
241,Çumra,DİNLENDİK,YOK
242,Çumra,DİNEKSARAY,VAR
243,Çumra,DOĞANLI,YOK
244,Çumra,FETHİYE,YOK
245,Çumra,GÖKHÜYÜK,VAR
246,Çumra,ERENTEPE,YOK
247,Çumra,İNLİ,YOK
248,Çumra,KUZUCU,VAR
249,Çumra,KÜÇÜKKÖY,VAR
250,Çumra,SEÇME,YOK
251,Çumra,SÜRGÜÇ,YOK
252,Çumra,TAHTALI,YOK
253,Çumra,T.KARAHÜYÜK,VAR
254,Çumra,TAŞAĞIL,YOK
255,Çumra,UZUNKUYU,YOK
256,Çumra,ÜÇHÜYÜK,YOK
257,Çumra,ÜRÜNLÜ,YOK
258,Çumra,YÖRÜKCAMİLİ,YOK
259,Çumra,ÇAYBAŞI,YOK
260,Derbent,ÇİFTLİKÖZÜ,YOK
261,Derbent,DEĞİŞ,YOK
262,Derbent,TEKKE,YOK
263,Derbent,GÜNEYKÖY,YOK
264,Derbent,MÜLAYİM,YOK
265,Derbent,SARAYPINAR,YOK
266,Derbent,YASSIÖREN,YOK
267,Derbent,SÜLEYMAN,YOK
268,Derbent,KARALAR,YOK
269,Derebucak,ÇAMLIK,VAR
270,Derebucak,DURAK,YOK
271,Derebucak,GENCEK,YOK
272,Derebucak,GÖYNEM,YOK
273,Derebucak,PINARBAŞI,VAR
274,Derebucak,TAŞLIPINAR,YOK
275,Derebucak,TEPEARASI,VAR
276,Derebucak,UĞURLU,YOK
277,Doğanhisar,BAŞKÖY,YOK
278,Doğanhisar,YAZLICA,VAR
279,Doğanhisar,AYASLAR,YOK
280,Doğanhisar,ÇINAROBA,YOK
281,Doğanhisar,DEŞTİĞİN,VAR
282,Doğanhisar,FIRINLI,YOK
283,Doğanhisar,GÜVENDİK,VAR
284,Doğanhisar,İLYASLAR,YOK
285,Doğanhisar,KARAAĞA,YOK
286,Doğanhisar,KEMER,YOK
287,Doğanhisar,KOÇAŞ,VAR
288,Doğanhisar,KONAKKALE,YOK
289,Doğanhisar,TEKKE,YOK
290,Doğanhisar,UNCULAR,VAR
291,Doğanhisar,YAZIR,YOK
292,Doğanhisar,YENİCE,YOK
293,Emirgazi,EKİZLİ,YOK
294,Emirgazi,AKMESCİT,VAR
295,Emirgazi,BESCİ,YOK
296,Emirgazi,DEMİRCİ,YOK
297,Emirgazi,GÖLÖREN,YOK
298,Emirgazi,IŞIKLAR,YOK
299,Emirgazi,KARAÖREN,VAR
300,Emirgazi,MEŞELİ,YOK
301,Emirgazi,ÖBEKTAŞ,YOK
302,Emirgazi,YAMAÇ,YOK
303,Ereğli,ZENGEN,VAR
304,Ereğli,ACIPINAR,YOK
305,Ereğli,ADABAĞ,YOK
306,Ereğli,AKHÜYÜK,YOK
307,Ereğli,ALHAN,YOK
308,Ereğli,AŞAĞI GÖNDELEN,YOK
309,Ereğli,AŞIKLAR,YOK
310,Ereğli,AZİZİYE,YOK
311,Ereğli,BAHÇELİ,YOK
312,Ereğli,BELCEAĞAÇ,YOK
313,Ereğli,BELKAYA,VAR
314,Ereğli,BEYKÖY,YOK
315,Ereğli,BEYÖREN,YOK
316,Ereğli,BULGURLUK,YOK
317,Ereğli,BURHANİYE,YOK
318,Ereğli,BÜYÜKDEDE,YOK
319,Ereğli,ÇAKMAK,YOK
320,Ereğli,ÇAYHAN,YOK
321,Ereğli,ÇİLLER,VAR
322,Ereğli,ÇİMENCİK,YOK
323,Ereğli,GAYBİ,YOK
324,Ereğli,GÖKÇEYAZI,YOK
325,Ereğli,GÖKTÖME,YOK
326,Ereğli,HACIMEMİŞ,YOK
327,Ereğli,KAMIŞLIKUYU,YOK
328,Ereğli,KARABURUN,YOK
329,Ereğli,KARGACI,VAR
330,Ereğli,KIZILGEDİK,YOK
331,Ereğli,KUSKUNCUK,YOK
332,Ereğli,KUTÖREN,YOK
333,Ereğli,KUZUKUYU,VAR
334,Ereğli,MELİCEK,YOK
335,Ereğli,ORHANİYE,VAR
336,Ereğli,ÖZGÜRLER,YOK
337,Ereğli,PINARÖZÜ,YOK
338,Ereğli,SARICA,YOK
339,Ereğli,SARITOPALLI,YOK
340,Ereğli,SELVİLİ,YOK
341,Ereğli,TAŞAĞIL,YOK
342,Ereğli,TAŞBUDAK,YOK
343,Ereğli,TATLIKUYU,YOK
344,Ereğli,TÜRKMEN,YOK
345,Ereğli,ULUMEŞE,YOK
346,Ereğli,YAZLIK,YOK
347,Ereğli,YELLİCE,YOK
348,Ereğli,YENİKÖY,VAR
349,Ereğli,YILDIZLI,YOK
350,Ereğli,YUKARIGÖNDELEN,YOK
351,Ereğli,HORTU,VAR
352,Ereğli,ACIKUYU,VAR
353,Güneysınır,GÜRAĞAÇ,YOK
354,Güneysınır,AĞAÇOBA,YOK
355,Güneysınır,ALANÖZÜ,YOK
356,Güneysınır,AVCITEPE,YOK
357,Güneysınır,AYDOĞMUŞ,YOK
358,Güneysınır,HABİLLER,YOK
359,Güneysınır,KARAGÜNEY,YOK
360,Güneysınır,KAYAAĞZI,YOK
361,Güneysınır,KIZILÖZ,YOK
362,Güneysınır,KURUKAVAK,YOK
363,Güneysınır,MEHMET ALİ,YOK
364,Güneysınır,ÖMEROĞLU,YOK
365,Güneysınır,ÖRENBOYALI,YOK
366,Güneysınır,SARIHACI,YOK
367,Hadim,AŞAĞIEŞENLER,YOK
368,Hadim,AŞAĞIKIZILKAYA,YOK
369,Hadim,BADEMLİ,YOK
370,Hadim,BAĞBAŞI,YOK
371,Hadim,BEYRELİ,YOK
372,Hadim,BOLAT,VAR
373,Hadim,ÇİFTEPINAR,YOK
374,Hadim,DEDEMLİ,VAR
375,Hadim,DÜLGERLER,YOK
376,Hadim,FAKILAR,YOK
377,Hadim,GAZİLER,YOK
378,Hadim,GÖYNÜKKIŞLA,YOK
379,Hadim,GÜLPINAR,YOK
380,Hadim,İĞDEÖREN,YOK
381,Hadim,KALINAĞIL,YOK
382,Hadim,KAPLANLI,YOK
383,Hadim,GEZLEVİ,YOK
384,Hadim,KÜPLÜCE,YOK
385,Hadim,ODUNCU,VAR
386,Hadim,SARNIÇ,YOK
387,Hadim,SELAHATTİN,YOK
388,Hadim,UMURLAR,YOK
389,Hadim,YAĞCI,VAR
390,Hadim,YALINÇEVRE,YOK
391,Hadim,YELMEZ,YOK
392,Hadim,YENİKONAK,YOK
393,Hadim,YUKARIEŞENLER,YOK
394,Halkapınar,İVRİZ,VAR
395,Halkapınar,BÜYÜKDOĞAN,VAR
396,Halkapınar,DEDELİ,YOK
397,Halkapınar,DELİMAHMUTLU,YOK
398,Halkapınar,ESKİHİSAR,YOK
399,Halkapınar,KARAYUSUFLU,YOK
400,Halkapınar,KAYASARAY,YOK
401,Halkapınar,KÖRLÜ,YOK
402,Halkapınar,KÜSERE,YOK
403,Halkapınar,OSMANKÖSELİ,VAR
404,Halkapınar,SEYDİFAKILI,VAR
405,Halkapınar,YASSIKAYA,YOK
406,Halkapınar,YAYIKLI,YOK
407,Halkapınar,YEŞİLYURT,YOK
408,Halkapınar,ÇAKILLAR,YOK
409,Hüyük,BAŞLAMIŞ,YOK
410,Hüyük,BUDAK,YOK
411,Hüyük,BURUNSUZ,YOK
412,Hüyük,ÇAMLICA,YOK
413,Hüyük,ÇAVUŞ,YOK
414,Hüyük,ÇUKURKENT,VAR
415,Hüyük,DEĞİRMENALTI,YOK
416,Hüyük,GÖÇERİ,YOK
417,Hüyük,GÖRÜNMEZ,YOK
418,Hüyük,İLMEN,YOK
419,Hüyük,İMRENLER,VAR
420,Hüyük,KIRELİ,VAR
421,Hüyük,KÖŞK,YOK
422,Hüyük,MUTLU,YOK
423,Hüyük,PINARBAŞI,YOK
424,Hüyük,SELKİ,VAR
425,Hüyük,SULUDERE,YOK
426,Hüyük,TOLCA,YOK
427,Hüyük,YENİCE,YOK
428,Ilgın,ARGITHANI,VAR
429,Ilgın,BEYKONAK,VAR
430,Ilgın,ÇAVUŞÇUGÖL,VAR
431,Ilgın,AĞALAR,VAR
432,Ilgın,BALKI,YOK
433,Ilgın,BARAKMUSLU,YOK
434,Ilgın,BELEKLER,YOK
435,Ilgın,BOĞAZKENT,YOK
436,Ilgın,BULCUK,YOK
437,Ilgın,BÜYÜKOBA,YOK
438,Ilgın,ÇİĞİL,VAR
439,Ilgın,ÇATAK,YOK
440,Ilgın,ÇOBANKAYA,YOK
441,Ilgın,ÇÖMLEKCİ,YOK
442,Ilgın,DEREKÖY,YOK
443,Ilgın,DIĞRAK,YOK
444,Ilgın,DÜĞER,YOK
445,Ilgın,ELDEŞ,YOK
446,Ilgın,GEÇİT,YOK
447,Ilgın,GEDİKÖREN,VAR
448,Ilgın,GÖSTERE,VAR
449,Ilgın,GÖKÇEYURT,YOK
450,Ilgın,GÖLYAKA,YOK
451,Ilgın,GÖKBUDAK,YOK
452,Ilgın,GÜNEYPINAR,YOK
453,Ilgın,HARMANYAZI,YOK
454,Ilgın,İHSANİYE,YOK
455,Ilgın,KAPAKLI,YOK
456,Ilgın,KARAKÖY,YOK
457,Ilgın,KALEKÖY,YOK
458,Ilgın,MAHMUTHİSAR,VAR
459,Ilgın,MECİDİYE,YOK
460,Ilgın,MİSAFİRLİ,YOK
461,Ilgın,OLUKPINAR,YOK
462,Ilgın,ORHANİYE,YOK
463,Ilgın,ORMANÖZÜ,YOK
464,Ilgın,SADIKKÖY,VAR
465,Ilgın,SEBİLLER,YOK
466,Ilgın,TEKELER,YOK
467,Ilgın,YUKARIÇİĞİL,YOK
468,Ilgın,YORAZLAR,YOK
469,Ilgın,ZAFERİYE,YOK
470,Ilgın,AVDAN,YOK
471,Kadınhanı,OSMANCIK,YOK
472,Kadınhanı,AFŞARLI,YOK
473,Kadınhanı,ALABAĞ,YOK
474,Kadınhanı,ATLANTI,YOK
475,Kadınhanı,BAKIRPINAR,YOK
476,Kadınhanı,BAŞKUYU,YOK
477,Kadınhanı,BAYRAMLI,YOK
478,Kadınhanı,BEYKAVAĞI,YOK
479,Kadınhanı,BULGURPINAR,YOK
480,Kadınhanı,ÇAVDAR,YOK
481,Kadınhanı,ÇEŞMECİK,VAR
482,Kadınhanı,ÇUBUK,YOK
483,Kadınhanı,DEMİROLUK,YOK
484,Kadınhanı,HACIMEHMETLİ,YOK
485,Kadınhanı,HACIOFLAZLAR,YOK
486,Kadınhanı,HACIPİRLİ,YOK
487,Kadınhanı,KABACALI,YOK
488,Kadınhanı,KAMIŞLIÖZÜ,YOK
489,Kadınhanı,KARAHİSARLI,YOK
490,Kadınhanı,KARAKURTLU,YOK
491,Kadınhanı,KARASEVİNÇ,YOK
492,Kadınhanı,KARAYÜRÜKLÜ,YOK
493,Kadınhanı,KIZILKUYU,YOK
494,Kadınhanı,KOLUKISA,YOK
495,Kadınhanı,KONURÖREN,YOK
496,Kadınhanı,KÖKEZ,YOK
497,Kadınhanı,KÖYLÜTOLU,VAR
498,Kadınhanı,KURTHASANLI,YOK
499,Kadınhanı,KÜÇÜKKUYU,YOK
500,Kadınhanı,MAHMUDİYE,YOK
501,Kadınhanı,MEYDANLI,VAR
502,Kadınhanı,ÖRNEK,YOK
503,Kadınhanı,PİRALİ,YOK
504,Kadınhanı,PUSAT,YOK
505,Kadınhanı,SAÇIKARA,YOK
506,Kadınhanı,SARIKAYA,YOK
507,Kadınhanı,SÖĞÜTÖZÜ,YOK
508,Kadınhanı,ŞAHÖREN,YOK
509,Kadınhanı,TOSUNOĞLU,YOK
510,Kadınhanı,YAĞLICA,YOK
511,Kadınhanı,YAYLAYAKA,YOK
512,Karapınar,HOTAMIŞ,YOK
513,Karapınar,KESMEZ,YOK
514,Karapınar,AKÇAYAZI,YOK
515,Karapınar,AKÖREN,VAR
516,Karapınar,ÇİĞİL,YOK
517,Karapınar,HASANOBA,YOK
518,Karapınar,İSLİK,YOK
519,Karapınar,KARAKIŞLA,YOK
