_id,ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler
73,Beyşehir,ADAKÖY,FASULYE
74,Beyşehir,AĞILÖNÜ,"ELMA, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES"
75,Beyşehir,AKBURUN,ŞEKER PANCARI
76,Beyşehir,AKÇABELEN,"ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
77,Beyşehir,AVDANCIK,"ŞEKER PANCARI, PATATES"
78,Beyşehir,BADEMLİ,YOK
79,Beyşehir,BAYAT,"ŞEKER PANCARI, PATATES"
80,Beyşehir,BAYAVŞAR,"ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES"
81,Beyşehir,BAYINDIR,"ŞEKER PANCARI, ELMA, DOMATES, BİBER, PATLICAN, PATATES"
82,Beyşehir,BAŞGÖZE,"BUĞDAY, ARPA, YONCA, PATATES"
83,Beyşehir,BEKDEMİR,"ŞEKER PANCARI, DOMATES, BİBER, PATATES, SOĞAN, SARIMSAK"
84,Beyşehir,DAMLAPINAR,"ŞEKER PANCARI, ELMA, KİRAZ, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES"
85,Beyşehir,DOĞANBEY,"BUĞDAY, ŞEKER PANCARI, YONCA"
86,Beyşehir,DOĞANCIK,HAŞHAŞ
87,Beyşehir,DUMANLI,"FASULYE, DOMATES, PATATES, SOĞAN"
88,Beyşehir,EMEN,"ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN"
89,Beyşehir,ESENCE,ŞEKER PANCARI
90,Beyşehir,EYLİKLER,ŞEKER PANCARI
91,Beyşehir,EĞİRLER,"BUĞDAY, ARPA, YONCA"
92,Beyşehir,FASILLAR,"ŞEKER PANCARI, FASULYE"
93,Beyşehir,GÖKÇEKUYU,"MISIR, YONCA, FASULYE, PATATES"
94,Beyşehir,GÖKÇİMEN,"YONCA, DOMATES, BİBER, PATLICAN, PATATES"
95,Beyşehir,GÖLKAŞI,"ŞEKER PANCARI, MISIR"
96,Beyşehir,GÖLYAKA,"ELMA, KİRAZ"
97,Beyşehir,GÖNEN,"BUĞDAY, ARPA, MERCİMEK"
98,Beyşehir,GÖÇÜ,"ŞEKER PANCARI, FASULYE, DOMATES, BİBER, PATATES"
99,Beyşehir,GÜNDOĞDU,"ŞEKER PANCARI, FASULYE"
100,Beyşehir,HUĞLU,"CEVİZ, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
101,Beyşehir,HÜSEYİNLER,"MISIR, KİRAZ"
102,Beyşehir,İSAKÖY,"BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES"
103,Beyşehir,KARAALİ,"BUĞDAY, ARPA"
104,Beyşehir,KARABAYAT,ŞEKER PANCARI
105,Beyşehir,KARADİKEN,"ŞEKER PANCARI, FASULYE, KAVUN, KARPUZ, DOMATES, BİBER"
106,Beyşehir,KARAHİSAR,"ŞEKER PANCARI, MISIR, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
107,Beyşehir,KAYABAŞI,"DOMATES, BİBER, PATLICAN, PATATES"
108,Beyşehir,KURUCUOVA,"DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK"
109,Beyşehir,KUŞLUCA,ŞEKER PANCARI
110,Beyşehir,KÜÇÜKAVŞAR,"ELMA, KİRAZ, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES"
111,Beyşehir,MESUTLAR,"DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK"
112,Beyşehir,SADIKHACI,"ŞEKER PANCARI, MISIR"
113,Beyşehir,SARIKÖY,"ŞEKER PANCARI, PATATES, SOĞAN"
114,Beyşehir,SEVİNDİK,"CEVİZ, PATATES"
115,Beyşehir,ŞAMLAR,"DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK"
116,Beyşehir,ÜÇPINAR,"ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES"
