ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
ocak,4683,7096,11779
subat,4387,5621,10008
mart,10171,6029,16200
nisan,12302,10129,22431
mayis,10445,934,11379
haziran,7140,28,7168
temmuz,2705,11938,14643
agustos,1741,12956,14697
eylul,1293,5852,7145
ekim,6918,149247,156165
kasim,10202,6451,16653
aralik,10226,5693,15919
