ay,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
ocak,1624,5046,6670
subat,2692,2065,4757
mart,9575,23304,32879
nisan,12221,22665,34886
mayis,12291,83752,96043
haziran,4716,8062,12778
temmuz,4483,6599,11082
agustos,4986,18607,23593
eylul,1084,7896,8980
ekim,5303,8844,14147
kasim,6952,13617,20569
aralik,7218,893,8111
