_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
72,Altınekin,AKINCILAR,"ARPA, HAZIR YEM"
73,Beyşehir,ADAKÖY,"FİĞ, ARPA, SAMAN"
74,Beyşehir,AĞILÖNÜ,"YULAF, FİĞ, ARPA"
75,Beyşehir,AKBURUN,"KÜSPE, ARPA, SAMAN"
76,Beyşehir,AKÇABELEN,HAZIR YEM
77,Beyşehir,AVDANCIK,"KÜSPE, ARPA, YONCA"
78,Beyşehir,BADEMLİ,"KÜSPE, ARPA, SAMAN, YONCA"
79,Beyşehir,BAYAT,"ARPA, HAZIR YEM"
80,Beyşehir,BAYAVŞAR,"KÜSPE, SAMAN, HAZIR YEM"
81,Beyşehir,BAYINDIR,"YULAF, FİĞ, KÜSPE, ARPA, SAMAN"
82,Beyşehir,BAŞGÖZE,"KÜSPE, ARPA, HAZIR YEM"
83,Beyşehir,BEKDEMİR,"ARPA, SAMAN, SİLAJLIK MISIR"
84,Beyşehir,DAMLAPINAR,"BUĞDAY, YULAF, FİĞ, KÜSPE, ARPA, YONCA, SİLAJLIK MISIR"
85,Beyşehir,DOĞANBEY,"FİĞ, KÜSPE, ARPA, SAMAN"
86,Beyşehir,DOĞANCIK,"YULAF, ARPA, ÇAVDAR"
87,Beyşehir,DUMANLI,"ARPA, HAZIR YEM"
88,Beyşehir,EMEN,"KÜSPE, ARPA, HAZIR YEM"
89,Beyşehir,ESENCE,"FİĞ, ARPA, SİLAJLIK MISIR"
90,Beyşehir,EYLİKLER,"ARPA, HAZIR YEM"
91,Beyşehir,EĞİRLER,"ARPA, HAZIR YEM"
92,Beyşehir,FASILLAR,"FİĞ, KÜSPE, ARPA, SAMAN, HAZIR YEM"
93,Beyşehir,GÖKÇEKUYU,"ARPA, ÇAVDAR, HAZIR YEM"
94,Beyşehir,GÖKÇİMEN,"YULAF, ARPA, YONCA"
95,Beyşehir,GÖLKAŞI,"KÜSPE, ARPA, HAZIR YEM"
96,Beyşehir,GÖLYAKA,"ARPA, HAZIR YEM"
97,Beyşehir,GÖNEN,"YULAF, ARPA, HAZIR YEM"
98,Beyşehir,GÖÇÜ,"YULAF, FİĞ, ARPA"
99,Beyşehir,GÜNDOĞDU,"BUĞDAY, ARPA, YONCA, HAZIR YEM"
100,Beyşehir,HUĞLU,"ARPA, SAMAN, HAZIR YEM"
101,Beyşehir,HÜSEYİNLER,"FİĞ, KÜSPE, ARPA, SİLAJLIK MISIR"
102,Beyşehir,İSAKÖY,"ARPA, HAZIR YEM"
103,Beyşehir,KARAALİ,"FİĞ, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
104,Beyşehir,KARABAYAT,"FİĞ, ARPA"
105,Beyşehir,KARADİKEN,"YONCA, SİLAJLIK MISIR, HAZIR YEM"
106,Beyşehir,KARAHİSAR,"KÜSPE, ARPA, SİLAJLIK MISIR"
107,Beyşehir,KAYABAŞI,"ARPA, SAMAN, HAZIR YEM"
108,Beyşehir,KURUCUOVA,"ARPA, SİLAJLIK MISIR, HAZIR YEM"
109,Beyşehir,KUŞLUCA,"FİĞ, ARPA, SİLAJLIK MISIR"
110,Beyşehir,KÜÇÜKAVŞAR,"KÜSPE, ARPA, YONCA, HAZIR YEM"
111,Beyşehir,MESUTLAR,"FİĞ, ARPA"
112,Beyşehir,SADIKHACI,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
113,Beyşehir,SARIKÖY,"YULAF, ARPA, SİLAJLIK MISIR, HAZIR YEM"
114,Beyşehir,SEVİNDİK,"YULAF, KÜSPE, ARPA, SİLAJLIK MISIR"
115,Beyşehir,ŞAMLAR,"YULAF, KÜSPE, SAMAN, HAZIR YEM"
116,Beyşehir,ÜÇPINAR,"ARPA, SAMAN, SİLAJLIK MISIR"
117,Beyşehir,ÜSTÜNLER,"BUĞDAY, ARPA, SİLAJLIK MISIR, HAZIR YEM"
118,Beyşehir,ÜZÜMLÜ,YOK
119,Beyşehir,YAZYURDU,ARPA
120,Beyşehir,YENİDOĞAN,"FİĞ, ARPA, ARPA, YONCA"
121,Beyşehir,YEŞİLDAĞ,"BUĞDAY, FİĞ, ARPA, YONCA"
122,Beyşehir,YUKARIESENCE,"KÜSPE, ARPA, HAZIR YEM"
123,Beyşehir,YUNUSLAR,"KÜSPE, SİLAJLIK MISIR"
124,Beyşehir,ÇİFTLİK,"SİLAJLIK MISIR, HAZIR YEM"
125,Beyşehir,ÇİVRİL,"ARPA, HAZIR YEM"
126,Beyşehir,ÇUKURAĞIL,"YULAF, ARPA, ÇAVDAR, SİLAJLIK MISIR"
127,Bozkır,ÇAĞLAYAN,"SİLAJLIK MISIR, HAZIR YEM"
128,Bozkır,HAMZALAR,HAZIR YEM
129,Bozkır,AKÇAPINAR,HAZIR YEM
130,Bozkır,ARMUTLU,"SAMAN, HAZIR YEM"
131,Bozkır,ARSLANTAŞ,HAZIR YEM
132,Bozkır,AYDINKIŞLA,"KÜSPE, ARPA, HAZIR YEM"
133,Bozkır,AYVALCA,"KÜSPE, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
134,Bozkır,BAĞYURDU,"KÜSPE, ARPA, HAZIR YEM"
135,Bozkır,BAYBAĞAN,"ARPA, HAZIR YEM"
136,Bozkır,BOZDAM,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
137,Bozkır,DEREİÇİ,"SAMAN, SİLAJLIK MISIR, HAZIR YEM"
138,Bozkır,DEREKÖY,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
139,Bozkır,ELMAAĞAÇ,"BUĞDAY, FİĞ, ARPA, SAMAN, YONCA"
140,Bozkır,HACILAR,"BUĞDAY, ARPA, SAMAN"
141,Bozkır,HACIYUNUSLAR,"SAMAN, HAZIR YEM"
142,Bozkır,HARMANPINAR,BUĞDAY
143,Bozkır,HİSARLIK,"BUĞDAY, KÜSPE, SAMAN, SİLAJLIK MISIR"
