_id,ilce_adi,mahalle_adi,tarimsal_sulama_suyu_kaynagi
101,Beyşehir,HÜSEYİNLER,ŞAHSİ KUYULAR
102,Beyşehir,İSAKÖY,KANAL
103,Beyşehir,KARAALİ,"ŞAHSİ KUYULAR, BARAJ"
104,Beyşehir,KARABAYAT,"ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI"
105,Beyşehir,KARADİKEN,GÖL
106,Beyşehir,KARAHİSAR,"GÖL, KANAL"
107,Beyşehir,KAYABAŞI,ŞAHSİ KUYULAR
108,Beyşehir,KURUCUOVA,GÖL
109,Beyşehir,KUŞLUCA,ŞAHSİ KUYULAR
110,Beyşehir,KÜÇÜKAVŞAR,ŞAHSİ KUYULAR
111,Beyşehir,MESUTLAR,ŞAHSİ KUYULAR
112,Beyşehir,SADIKHACI,YERALTI SULARI
113,Beyşehir,SARIKÖY,"ÇAY, AKARSU"
114,Beyşehir,SEVİNDİK,KOOPERATİF KUYULARI
115,Beyşehir,ŞAMLAR,"ŞAHSİ KUYULAR, GÖLET"
116,Beyşehir,ÜÇPINAR,ŞAHSİ KUYULAR
117,Beyşehir,ÜSTÜNLER,"ÇAY, BARAJ"
118,Beyşehir,ÜZÜMLÜ,GÖLET
119,Beyşehir,YAZYURDU,ŞAHSİ KUYULAR
120,Beyşehir,YENİDOĞAN,GÖLET
121,Beyşehir,YEŞİLDAĞ,AKARSU
122,Beyşehir,YUKARIESENCE,GÖL
123,Beyşehir,YUNUSLAR,ÇAY
124,Beyşehir,ÇİFTLİK,GÖLET
125,Beyşehir,ÇİVRİL,KANAL
126,Beyşehir,ÇUKURAĞIL,ŞAHSİ KUYULAR
127,Bozkır,ÇAĞLAYAN,ŞAHSİ KUYULAR
128,Bozkır,HAMZALAR,ŞAHSİ KUYULAR
129,Bozkır,AKÇAPINAR,GÖLET
130,Bozkır,ARMUTLU,"ŞAHSİ KUYULAR, DERE"
131,Bozkır,ARSLANTAŞ,ŞAHSİ KUYULAR
132,Bozkır,AYDINKIŞLA,ŞAHSİ KUYULAR
133,Bozkır,AYVALCA,ŞAHSİ KUYULAR
134,Bozkır,BAĞYURDU,ŞAHSİ KUYULAR
135,Bozkır,BAYBAĞAN,DERE
136,Bozkır,BOZDAM,ŞAHSİ KUYULAR
137,Bozkır,DEREİÇİ,GÖLET
138,Bozkır,DEREKÖY,ÇAY
139,Bozkır,ELMAAĞAÇ,YOK
140,Bozkır,HACILAR,ŞAHSİ KUYULAR
141,Bozkır,HACIYUNUSLAR,ŞAHSİ KUYULAR
142,Bozkır,HARMANPINAR,ŞAHSİ KUYULAR
143,Bozkır,HİSARLIK,ŞAHSİ KUYULAR
144,Bozkır,IŞIKLAR,DERE
145,Bozkır,KARABAYIR,ŞAHSİ KUYULAR
146,Bozkır,KARACAARDIÇ,ŞAHSİ KUYULAR
147,Bozkır,KARACAHİSAR,YERALTI SULARI
148,Bozkır,KARAYAHYA,YOK
149,Bozkır,KAYACILAR,ŞAHSİ KUYULAR
150,Bozkır,KAYAPINAR,"ŞAHSİ KUYULAR, AKARSU"
151,Bozkır,KINIK,ŞAHSİ KUYULAR
152,Bozkır,KIZILÇAKIR,YOK
153,Bozkır,KİLDERE,DERE
154,Bozkır,KOVANLIK,ÇAY
155,Bozkır,KOZAĞAÇ,"ŞAHSİ KUYULAR, YERALTI SULARI"
156,Bozkır,KUŞÇA,"ŞAHSİ KUYULAR, DERE"
157,Bozkır,KÜÇÜKHİSARLIK,ŞAHSİ KUYULAR
158,Bozkır,PINARCIK,"ŞAHSİ KUYULAR, DERE"
159,Bozkır,SARIOĞLAN,"ŞAHSİ KUYULAR, YERALTI SULARI"
160,Bozkır,SAZLI,ŞAHSİ KUYULAR
161,Bozkır,SOĞUCAK,ŞAHSİ KUYULAR
