,tarih,değer (ton)
199,2013-10-07,"59435,0"
200,2013-11-07,"56380,0"
201,2013-12-07,"57695,0"
202,2013-07-13,"52515,0"
203,2013-07-14,"55175,0"
204,2013-07-15,"55295,0"
205,2013-07-16,"57355,0"
206,2013-07-17,"56540,0"
207,2013-07-18,"55380,0"
208,2013-07-19,"52475,0"
209,2013-07-20,"50875,0"
210,2013-07-21,"49655,0"
211,2013-07-22,"53835,0"
212,2013-07-23,"54090,0"
213,2013-07-24,"50810,0"
214,2013-07-25,"51850,0"
215,2013-07-26,"55100,0"
216,2013-07-27,"55720,0"
217,2013-07-28,"58965,0"
218,2013-07-29,"57170,0"
219,2013-07-30,"57495,0"
220,2013-07-31,"59975,0"
221,2013-01-08,"54600,0"
222,2013-02-08,"59705,0"
223,2013-03-08,"57855,0"
224,2013-04-08,"52140,0"
225,2013-05-08,"61975,0"
226,2013-06-08,"71190,0"
227,2013-07-08,"75655,0"
228,2013-08-08,"41035,0"
229,2013-09-08,"44725,0"
230,2013-10-08,"26760,0"
231,2013-11-08,"36970,0"
232,2013-12-08,"43175,0"
233,2013-08-13,"53140,0"
234,2013-08-14,"51350,0"
235,2013-08-15,"51610,0"
236,2013-08-16,"55695,0"
237,2013-08-17,"54810,0"
238,2013-08-18,"51890,0"
239,2013-08-19,"55185,0"
240,2013-08-20,"55490,0"
241,2013-08-21,"57540,0"
242,2013-08-22,"53800,0"
243,2013-08-23,"52375,0"
244,2013-08-24,"53745,0"
245,2013-08-25,"56490,0"
246,2013-08-26,"53285,0"
247,2013-08-27,"59640,0"
248,2013-08-28,"53695,0"
249,2013-08-29,"65975,0"
250,2013-08-30,"54380,0"
251,2013-08-31,"59960,0"
252,2013-01-09,"58345,0"
253,2013-02-09,"54550,0"
254,2013-03-09,"63330,0"
255,2013-04-09,"60765,0"
256,2013-05-09,"53830,0"
257,2013-06-09,"56260,0"
258,2013-07-09,"55585,0"
259,2013-08-09,"59085,0"
260,2013-09-09,"53125,0"
261,2013-10-09,"59030,0"
262,2013-11-09,"57280,0"
263,2013-12-09,"54990,0"
264,2013-09-13,"52905,0"
265,2013-09-14,"57335,0"
266,2013-09-15,"55965,0"
267,2013-09-16,"61275,0"
268,2013-09-17,"63525,0"
269,2013-09-18,"61525,0"
270,2013-09-19,"56555,0"
271,2013-09-20,"58900,0"
272,2013-09-21,"54450,0"
273,2013-09-22,"57035,0"
274,2013-09-23,"53990,0"
275,2013-09-24,"64755,0"
276,2013-09-25,"59120,0"
277,2013-09-26,"82330,0"
278,2013-09-27,"66150,0"
279,2013-09-28,"56760,0"
280,2013-09-29,"56405,0"
281,2013-09-30,"55565,0"
282,2013-01-10,"57720,0"
283,2013-02-10,"57530,0"
284,2013-03-10,"58720,0"
285,2013-04-10,"59985,0"
286,2013-05-10,"57795,0"
287,2013-06-10,"50725,0"
288,2013-07-10,"62350,0"
289,2013-08-10,"64120,0"
290,2013-09-10,"60890,0"
291,2013-10-10,"64445,0"
292,2013-11-10,"58555,0"
293,2013-12-10,"69650,0"
294,2013-10-13,"63945,0"
295,2013-10-14,"78900,0"
296,2013-10-15,"51500,0"
297,2013-10-16,"79940,0"
298,2013-10-17,"1,0018"
299,2013-10-18,"69690,0"
300,2013-10-19,"48845,0"
301,2013-10-20,"54315,0"
302,2013-10-21,"57760,0"
303,2013-10-22,"60690,0"
304,2013-10-23,"60230,0"
305,2013-10-24,"55295,0"
306,2013-10-25,"49130,0"
307,2013-10-26,"59895,0"
308,2013-10-27,"60115,0"
309,2013-10-28,"60100,0"
310,2013-10-29,"58195,0"
311,2013-10-30,"60570,0"
312,2013-10-31,"51250,0"
313,2013-01-11,"57075,0"
314,2013-02-11,"54875,0"
315,2013-03-11,"54635,0"
316,2013-04-11,"56585,0"
317,2013-05-11,"66740,0"
318,2013-06-11,"54415,0"
319,2013-07-11,"60520,0"
320,2013-08-11,"50745,0"
321,2013-09-11,"55505,0"
322,2013-10-11,"56925,0"
323,2013-11-11,"52715,0"
324,2013-12-11,"57925,0"
325,2013-11-13,"55400,0"
326,2013-11-14,"58245,0"
327,2013-11-15,"53465,0"
328,2013-11-16,"54355,0"
329,2013-11-17,"58230,0"
330,2013-11-18,"57835,0"
331,2013-11-19,"64710,0"
332,2013-11-20,"53525,0"
333,2013-11-21,"60990,0"
334,2013-11-22,"49620,0"
335,2013-11-23,"57185,0"
336,2013-11-24,"62125,0"
337,2013-11-25,"61345,0"
338,2013-11-26,"63335,0"
339,2013-11-27,"64725,0"
340,2013-11-28,"65580,0"
341,2013-11-29,"58805,0"
342,2013-11-30,"62855,0"
343,2013-01-12,"60585,0"
344,2013-02-12,"61070,0"
345,2013-03-12,"60675,0"
346,2013-04-12,"50495,0"
347,2013-05-12,"63990,0"
348,2013-06-12,"59270,0"
349,2013-07-12,"53505,0"
350,2013-08-12,"57930,0"
351,2013-09-12,"55855,0"
352,2013-10-12,"54650,0"
353,2013-11-12,"49085,0"
354,2013-12-12,"48890,0"
355,2013-12-13,"46205,0"
356,2013-12-14,"48075,0"
357,2013-12-15,"51495,0"
358,2013-12-16,"59430,0"
359,2013-12-17,"59490,0"
360,2013-12-18,"56240,0"
361,2013-12-19,"54295,0"
362,2013-12-20,"49630,0"
363,2013-12-21,"52070,0"
364,2013-12-22,"54085,0"
365,2013-12-23,"49495,0"
366,2013-12-24,"49340,0"
367,2013-12-25,"52975,0"
368,2013-12-26,"65255,0"
369,2013-12-27,"58060,0"
370,2013-12-28,"54450,0"
371,2013-12-29,"59815,0"
372,2013-12-30,"60515,0"
373,2013-12-31,"57630,0"
374,2014-01-01,"35210,0"
375,2014-02-01,"55020,0"
376,2014-03-01,"50540,0"
377,2014-04-01,"48735,0"
378,2014-05-01,"64995,0"
379,2014-06-01,"60295,0"
380,2014-07-01,"57120,0"
381,2014-08-01,"53305,0"
382,2014-09-01,"56380,0"
383,2014-10-01,"59925,0"
384,2014-11-01,"56360,0"
385,2014-12-01,"52800,0"
386,2014-01-13,"57575,0"
387,2014-01-14,"58985,0"
388,2014-01-15,"55915,0"
389,2014-01-16,"58195,0"
390,2014-01-17,"52970,0"
391,2014-01-18,"55630,0"
392,2014-01-19,"60045,0"
393,2014-01-20,"51765,0"
394,2014-01-21,"60440,0"
395,2014-01-22,"60000,0"
396,2014-01-23,"56200,0"
397,2014-01-24,"63120,0"
398,2014-01-25,"46590,0"
399,2014-01-26,"56425,0"
400,2014-01-27,"54670,0"
401,2014-01-28,"59770,0"
402,2014-01-29,"51700,0"
403,2014-01-30,"51845,0"
404,2014-01-31,"57940,0"
405,2014-01-02,"52830,0"
406,2014-02-02,"59380,0"
407,2014-03-02,"72470,0"
408,2014-04-02,"57935,0"
409,2014-05-02,"57015,0"
410,2014-06-02,"46500,0"
411,2014-07-02,"55800,0"
412,2014-08-02,"51800,0"
413,2014-09-02,"54405,0"
414,2014-10-02,"56775,0"
415,2014-11-02,"52855,0"
416,2014-12-02,"53800,0"
417,2014-02-13,"53705,0"
418,2014-02-14,"52650,0"
419,2014-02-15,"53830,0"
420,2014-02-16,"56090,0"
421,2014-02-17,"52075,0"
422,2014-02-18,"61170,0"
423,2014-02-19,"56970,0"
424,2014-02-20,"57145,0"
425,2014-02-21,"53800,0"
426,2014-02-22,"52410,0"
427,2014-02-23,"77675,0"
428,2014-02-24,"68995,0"
429,2014-02-25,"99190,0"
430,2014-02-26,"64490,0"
431,2014-02-27,"56655,0"
432,2014-02-28,"49965,0"
433,2014-01-03,"60915,0"
434,2014-02-03,"60280,0"
435,2014-03-03,"62040,0"
436,2014-04-03,"59720,0"
437,2014-05-03,"52820,0"
438,2014-06-03,"47610,0"
439,2014-07-03,"55690,0"
440,2014-08-03,"53465,0"
441,2014-09-03,"55470,0"
442,2014-10-03,"60945,0"
443,2014-11-03,"60170,0"
444,2014-12-03,"53895,0"
445,2014-03-13,"55780,0"
446,2014-03-14,"54265,0"
447,2014-03-15,"50145,0"
448,2014-03-16,"51690,0"
449,2014-03-17,"55640,0"
450,2014-03-18,"55445,0"
451,2014-03-19,"53980,0"
452,2014-03-20,"54140,0"
453,2014-03-21,"63285,0"
454,2014-03-22,"53080,0"
455,2014-03-23,"50530,0"
456,2014-03-24,"53060,0"
457,2014-03-25,"54170,0"
458,2014-03-26,"51205,0"
459,2014-03-27,"60650,0"
460,2014-03-28,"46995,0"
461,2014-03-29,"41985,0"
462,2014-03-30,"44250,0"
463,2014-03-31,"44905,0"
464,2014-01-04,"49920,0"
465,2014-02-04,"52030,0"
466,2014-03-04,"50700,0"
467,2014-04-04,"39910,0"
468,2014-05-04,"42970,0"
469,2014-06-04,"47895,0"
470,2014-07-04,"50445,0"
471,2014-08-04,"54185,0"
472,2014-09-04,"50885,0"
473,2014-10-04,"51685,0"
474,2014-11-04,"48400,0"
475,2014-12-04,"45180,0"
476,2014-04-13,"47540,0"
477,2014-04-14,"53330,0"
478,2014-04-15,"49410,0"
479,2014-04-16,"50605,0"
480,2014-04-17,"45760,0"
481,2014-04-18,"49930,0"
482,2014-04-19,"43325,0"
483,2014-04-20,"49565,0"
484,2014-04-21,"55395,0"
485,2014-04-22,"59045,0"
486,2014-04-23,"53285,0"
487,2014-04-24,"57800,0"
488,2014-04-25,"53540,0"
489,2014-04-26,"48920,0"
490,2014-04-27,"54605,0"
491,2014-04-28,"52985,0"
492,2014-04-29,"52165,0"
493,2014-04-30,"48515,0"
494,2014-01-05,"52415,0"
495,2014-02-05,"48685,0"
496,2014-03-05,"58400,0"
497,2014-04-05,"49455,0"
498,2014-05-05,"51965,0"
499,2014-06-05,"54945,0"
500,2014-07-05,"50500,0"
501,2014-08-05,"51060,0"
502,2014-09-05,"42210,0"
503,2014-10-05,"54590,0"
504,2014-11-05,"49165,0"
505,2014-12-05,"56350,0"
506,2014-05-13,"55080,0"
507,2014-05-14,"55720,0"
508,2014-05-15,"51590,0"
509,2014-05-16,"51755,0"
510,2014-05-17,"58490,0"
511,2014-05-18,"54835,0"
512,2014-05-19,"62295,0"
513,2014-05-20,"56035,0"
514,2014-05-21,"51680,0"
515,2014-05-22,"52245,0"
516,2014-05-23,"50990,0"
517,2014-05-24,"50970,0"
518,2014-05-25,"59050,0"
