_id,tarih,gun,saat,oyun,doluluk_orani,izleyici_sayisi
1,2019-07-01T00:00:00,Pazartesi,19.30,Abdülhamid Ateş Çemberi,60%,453
2,2019-08-01T00:00:00,Salı,19.30,Abdülhamid Ateş Çemberi,61%,462
3,2019-01-14T00:00:00,Pazartesi,19.30,Amak-I Hayal,100%,751
4,2019-01-15T00:00:00,Salı,19.30,Amak-I Hayal,100%,753
5,2019-01-21T00:00:00,Pazartesi,19.30,80 Günde Devri Alem,100%,751
6,2019-01-22T00:00:00,Salı,19.30,80 Günde Devri Alem,100%,751
7,2019-01-25T00:00:00,Cuma,19.30,Tatar Çölü,89%,669
8,2019-01-26T00:00:00,Cumartesi,10.30 - 13.30,Kelebek Avcısı,100%,1502
9,2019-01-26T00:00:00,Cumartesi,19.30,Tatar Çölü,94%,712
10,2019-01-28T00:00:00,Pazartesi,19.30,Amak-I Hayal,99%,746
11,2019-01-29T00:00:00,Salı,19.30,Amak-I Hayal,100%,751
12,2019-04-02T00:00:00,Pazartesi,20.00,Cimri,100%,756
13,2019-05-02T00:00:00,Salı,20.00,Cimri,100%,751
14,2019-08-02T00:00:00,Cuma,20.00,Hay Taksi,88%,668
15,2019-09-02T00:00:00,Cumartesi,10.30 - 13.00,Babaannemin Çantası,100%,1502
16,2019-09-02T00:00:00,Cumartesi,20.00,Hay Taksi,95%,717
17,2019-11-02T00:00:00,Pazartesi,20.00,Cimri,95%,719
18,2019-12-02T00:00:00,Salı,20.00,Cimri,100%,752
19,2019-02-18T00:00:00,Pazartesi,20.00,Cimri,100%,751
20,2019-02-19T00:00:00,Salı,20.00,Cimri,100%,751
21,2019-02-22T00:00:00,Cuma,20.00,Vecihi Hür Kuş,100%,751
22,2019-02-23T00:00:00,Cumartesi,20.00,Vecihi Hür Kuş,99%,750
23,2019-02-26T00:00:00,Salı,20.00,Amak-I Hayal,99%,747
24,2019-02-28T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,99%,1496
25,2019-01-03T00:00:00,Cuma,20.00,Sürgün,68%,517
26,2019-02-03T00:00:00,Cumartesi,10.30 - 13.30,Neşeli Yuva,100%,1502
27,2019-02-03T00:00:00,Cumartesi,20.00,Sürgün,65%,494
28,2019-04-03T00:00:00,Pazartesi,20.00,Amak-I Hayal,65%,491
29,2019-05-03T00:00:00,Salı,20.00,Amak-I Hayal,81%,612
30,2019-07-03T00:00:00,Perşembe,10.30  13.30,Kuyudaki Aslan,98%,1474
31,2019-11-03T00:00:00,Pazartesi,20.00,Cimri,100%,751
32,2019-12-03T00:00:00,Salı,20.00,Cimri,100%,751
33,2019-03-14T00:00:00,Perşembe,10.30  13.30,Kuyudaki Aslan,100%,1502
34,2019-03-18T00:00:00,Pazartesi,20.00,Asım Bir Varoluş Mücadelesi,100%,751
35,2019-03-19T00:00:00,Salı,20.00,Asım Bir Varoluş Mücadelesi,100%,751
36,2019-03-21T00:00:00,Perşembe,10.30  13.30,Kuyudaki Aslan,99%,1495
37,2019-03-22T00:00:00,Cuma,20.00,Ziyafet Sofrası,100%,751
38,2019-03-23T00:00:00,Cumartesi,10.30 - 13.30,Oburcuk,100%,1502
39,2019-03-23T00:00:00,Cumartesi,20.00,Ziyafet Sofrası,100%,751
40,2019-03-25T00:00:00,Pazartesi,20.00,Amak-I Hayal,52%,392
41,2019-03-26T00:00:00,Salı,20.00,Amak-I Hayal,55%,415
42,2019-03-27T00:00:00,Çarşamba,20.00,Amak-I Hayal,70%,533
43,2019-03-28T00:00:00,Perşembe,20.00,Cimri,100%,751
44,2019-01-04T00:00:00,Pazartesi,20.00,Cimri,72%,545
45,2019-02-04T00:00:00,Salı,20.00,Cimri,57%,433
46,2019-04-04T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,100%,1502
47,2019-08-04T00:00:00,Pazartesi,20.00,Cimri,79%,599
48,2019-09-04T00:00:00,Salı,20.00,Cimri,91%,684
49,2019-11-04T00:00:00,Perşembe,10.30  13.30,Kuyudaki Aslan,100%,1502
50,2019-04-15T00:00:00,Pazartesi,20.00,Amak-I Hayal,62%,467
51,2019-04-16T00:00:00,Salı,20.00,Amak-I Hayal,64%,487
52,2019-04-18T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,99%,1492
53,2019-04-22T00:00:00,Pazartesi,10.30 - 13.30,Kuyudaki Aslan,62%,1565
54,2019-04-23T00:00:00,Salı,10.30 - 13.30,Kuyudaki Aslan,78%,2024
55,2019-04-24T00:00:00,Çarşamba,10.30 - 13.30,Kuyudaki Aslan,63%,1621
56,2019-04-29T00:00:00,Pazartesi,20.00,Cimri,100%,751
57,2019-04-30T00:00:00,Pazartesi,20.00,Cimri,100%,751
58,2019-03-05T00:00:00,Cuma,19.00,Vuslat Dinle Neyden,86%,653
59,2019-04-05T00:00:00,Cumartesi,21.00,Vuslat Dinle Neyden,56%,422
60,2019-05-05T00:00:00,Pazar,13.00,Vuslat Dinle Neyden,30%,228
61,2019-08-05T00:00:00,Çarşamba,10.30 - 13.30,Kuyudaki Aslan,56%,845
62,2019-09-05T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,53%,813
63,2019-10-05T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,47%,711
64,2019-05-15T00:00:00,Çarşamba,10.30 - 13.30,Kuyudaki Aslan,67%,1024
65,2019-05-16T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,45%,705
66,2019-05-17T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,61%,904
67,2019-05-22T00:00:00,Çarşamba,10.30 - 13.30,Kuyudaki Aslan,67%,1020
68,2019-05-23T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,63%,977
69,2019-05-24T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,72%,1087
70,2019-07-10T00:00:00,Pazartesi,20.00,Suç ve Ceza,99%,748
71,2019-08-10T00:00:00,Salı,20.00,Suç ve Ceza,100%,751
72,2019-11-10T00:00:00,Cuma,20.00,Reis Bey,100%,754
73,2019-12-10T00:00:00,Cumartesi,15.00 - 20.00,Reis Bey,99%,1499
74,2019-10-14T00:00:00,Pazartesi,20.00,Suç ve Ceza,100%,751
