_id,tarih,gun,saat,oyun,doluluk_orani,izleyici_sayisi
75,2019-10-15T00:00:00,Salı,20.00,Suç ve Ceza,100%,751
76,2019-10-21T00:00:00,Pazartesi,20.00,Suç ve Ceza,100%,751
77,2019-10-22T00:00:00,Salı,20.00,Suç ve Ceza,100%,751
78,2019-10-24T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,100%,1502
79,2019-10-25T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,100%,1501
80,2019-10-28T00:00:00,Pazartesi,20.00,Cimri,100%,751
81,2019-10-29T00:00:00,Salı,20.00,Cimri,100%,751
82,2019-10-31T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,100%,1502
83,2019-01-11T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,75%,115
84,2019-04-11T00:00:00,Pazartesi,20.00,Cimri,100%,751
85,2019-05-11T00:00:00,Salı,20.00,Cimri,100%,751
86,2019-07-11T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,95%,1485
87,2019-08-11T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,82%,1296
88,2019-11-11T00:00:00,Pazartesi,20.00,Suç ve Ceza,100%,751
89,2019-12-11T00:00:00,Salı,20.00,Suç ve Ceza,100%,751
90,2019-11-14T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,98%,1485
91,2019-11-15T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,91%,1405
92,2019-11-18T00:00:00,Pazartesi,20.00,Suç ve Ceza,100%,751
93,2019-11-19T00:00:00,Salı,20.00,Suç ve Ceza,100%,751
94,2019-11-21T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,60%,925
95,2019-11-22T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,80%,1208
96,2019-11-25T00:00:00,Pazartesi,20.00,Amak-I Hayal,100%,751
97,2019-11-26T00:00:00,Salı,20.00,Amak-I Hayal,100%,751
98,2019-11-28T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,99%,1493
99,2019-11-29T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,97%,1455
100,2019-02-12T00:00:00,Pazartesi,20.00,Suç ve Ceza,100%,751
101,2019-03-12T00:00:00,Salı,20.00,Suç ve Ceza,100%,751
102,2019-05-12T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,94%,1419
103,2019-06-12T00:00:00,Cuma,20.00,Leyla ile Mecnun,100%,751
104,2019-07-12T00:00:00,Cumartesi,15.00 - 20.00,Leyla ile Mecnun,100%,1502
105,2019-09-12T00:00:00,Pazartesi,20.00,Amak-I Hayal,92%,697
106,2019-10-12T00:00:00,Salı,20.00,Amak-I Hayal,98%,736
107,2019-12-12T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,83%,1248
108,2019-12-13T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,78%,1224
109,2019-12-19T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,100%,1502
110,2019-12-20T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,99%,1492
111,2019-12-23T00:00:00,Pazartesi,20.00,Cimri,100%,751
112,2019-12-24T00:00:00,Salı,20.00,Cimri,100%,751
113,2019-12-26T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık ,98%,1478
114,2019-12-27T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık ,95%,1542
115,2019-12-30T00:00:00,Pazartesi,20.00,Cimri,100%,751
116,2019-12-31T00:00:00,Salı,20.00,Cimri,100%,751
