_id,tarih,gun,saat,oyun,doluluk_orani,izleyici_sayisi
1,2020-02-01T00:00:00,Perşembe,10.30  13.30,Kuyudaki Aslan,54%,821
2,2020-03-01T00:00:00,Cuma,20.00,En Büyük Haber,78%,607
3,2020-04-01T00:00:00,Cumartesi,10.30 - 13.30,Çarpım Tablosu,63%,953
4,2020-04-01T00:00:00,Cumartesi,20.00,En Büyük Haber,83%,630
5,2020-06-01T00:00:00,Pazartesi,20.00,Cimri,76%,571
6,2020-07-01T00:00:00,Salı,20.00,Cimri,84%,636
7,2020-09-01T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,75%,1125
8,2020-10-01T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,64%,977
9,2020-01-13T00:00:00,Pazartesi,20.00,Amak-ı Hayal,55%,420
10,2020-01-14T00:00:00,Salı,20.00,Amak-ı Hayal,54%,411
11,2020-01-16T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık,62%,1095
12,2020-01-17T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık,23%,366
13,2020-01-20T00:00:00,Pazartesi,20.00,Suç ve Ceza,94%,709
14,2020-01-21T00:00:00,Salı,20.00,Suç ve Ceza,95%,714
15,2020-01-23T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık,73%,1079
16,2020-01-24T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık,75%,1125
17,2020-01-27T00:00:00,Pazartesi,20.00,Suç ve Ceza,96%,726
18,2020-01-28T00:00:00,Salı,20.00,Suç ve Ceza,98%,739
19,2020-03-02T00:00:00,Pazartesi,20.00,Mavi Kuş,85%,640
20,2020-04-02T00:00:00,Salı,20.00,Mavi Kuş,82%,619
21,2020-06-02T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık,11%,165
22,2020-07-02T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık,13%,173
23,2020-10-02T00:00:00,Pazartesi,20.00,Mavi Kuş,85%,640
24,2020-11-02T00:00:00,Salı,20.00,Mavi Kuş,90%,683
25,2020-02-13T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,76%,1139
26,2020-02-14T00:00:00,Cuma,20.00,Son Çıkış,100%,751
27,2020-02-15T00:00:00,Cumartesi,10.30 - 13.30,Kuşlar Diyarı,78%,1173
28,2020-02-15T00:00:00,Cumartesi,20.00,Son Çıkış,100%,751
29,2020-02-17T00:00:00,Pazartesi,20.00,Mavi Kuş,100%,751
30,2020-02-18T00:00:00,Salı,20.00,Mavi Kuş,100%,751
31,2020-02-20T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık,72%,1108
32,2020-02-21T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık,68%,1026
33,2020-02-24T00:00:00,Pazartesi,20.00,Suç ve Ceza,100%,751
34,2020-02-25T00:00:00,Salı,20.00,Suç ve Ceza,100%,759
35,2020-02-27T00:00:00,Perşembe,10.30 - 13.30,Küçük Kara Balık,22%,341
36,2020-02-28T00:00:00,Cuma,10.30 - 13.30,Küçük Kara Balık,61%,951
37,2020-02-03T00:00:00,Pazartesi,20.00,Suç ve Ceza,81%,610
38,2020-05-03T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,32%,481
39,2020-06-03T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,47%,717
40,2020-09-03T00:00:00,Pazartesi,20.00,Mavi Kuş,89%,675
41,2020-10-03T00:00:00,Salı,20.00,Mavi Kuş,82%,616
42,2020-12-03T00:00:00,Perşembe,10.30 - 13.30,Kuyudaki Aslan,19%,299
43,2020-03-13T00:00:00,Cuma,10.30 - 13.30,Kuyudaki Aslan,18%,290
44,2020-09-21T00:00:00,Pazartesi,20.00,Kamyon,17%,134
45,2020-09-23T00:00:00,Çarşamba,20.00,Kamyon,18%,137
46,2020-09-28T00:00:00,Pazartesi,20.00,Suç ve Ceza,17%,133
47,2020-09-30T00:00:00,Çarşamba,20.00,Suç ve Ceza,25%,189
48,2020-05-10T00:00:00,Pazartesi,20.00,Mavi Kuş,17%,128
49,2020-07-10T00:00:00,Çarşamba,20.00,Mavi Kuş,21%,158
50,2020-12-10T00:00:00,Pazartesi,20.00,Mavi Kuş,21%,165
51,2020-10-14T00:00:00,Çarşamba,20.00,Mavi Kuş,23%,179
52,2020-10-19T00:00:00,Pazartesi,20.00,Cimri,32%,241
53,2020-10-21T00:00:00,Çarşamba,20.00,Cimri,34%,257
54,2020-10-26T00:00:00,Pazartesi,20.00,Amak-ı Hayal,28%,212
55,2020-10-28T00:00:00,Çarşamba,20.00,Amak-ı Hayal,28%,214
56,2020-02-11T00:00:00,Pazartesi,20.00,Mavi Kuş,25%,191
57,2020-04-11T00:00:00,Çarşamba,20.00,Mavi Kuş,34%,262
58,2020-09-11T00:00:00,Pazartesi,20.00,Cimri,25%,194
59,2020-11-11T00:00:00,Çarşamba,20.00,Cimri,19%,146
60,2020-11-23T00:00:00,Pazartesi,20.00,Bir Adam Yaratmak,39%,298
61,2020-11-25T00:00:00,Çarşamba,20.00,Bir Adam Yaratmak,23%,176
62,2020-11-30T00:00:00,Cumartesi,20.00,Bir Adam Yaratmak,15%,118
