,tarih,saat,oyun,doluluk_orani,izleyici_sayisi
32,2012-11-12,15:00 ,Kamyon,70%,1057.0
43,2012-11-12,19:00,Kamyon,70%,528.5
13,2021-01-10,20:00,Amak-ı Hayal,33%,255.0
14,2021-02-10,20:00,Amak-ı Hayal,29%,221.0
5,2021-03-09,20:00,Mavi Kuş,35%,268.0
28,2021-03-12,19:00,Cimri,100%,754.0
1,2021-04-08,20:30,Misafir,43%,326.0
6,2021-04-09,20:00,Mavi Kuş,36%,272.0
41,2021-04-12,19:00,Cimri,97%,729.5
29,2021-04-12,15:00 ,Cimri,97%,1459.0
19,2021-05-11,20:00,Suç ve Ceza,100%,751.0
20,2021-06-11,20:00,Suç ve Ceza,100%,751.0
30,2021-07-12,10:30 ,Küçük Kara Balık,59%,888.0
42,2021-07-12,13:30,Küçük Kara Balık,59%,444.0
0,2021-07-28,20:30,Misafir,36%,274.0
15,2021-08-10,20:00,Mavi Kuş,35%,267.0
3,2021-08-18,20:30,Mavi Kuş,51%,384.0
4,2021-08-25,20:30,Misafir,50%,378.0
16,2021-09-10,20:00,Mavi Kuş,35%,269.0
9,2021-09-17,20:00,Amak-ı Hayal,33%,248.0
10,2021-09-18,20:00,Amak-ı Hayal,27%,207.0
11,2021-09-24,20:00,Misafir,35%,269.0
12,2021-09-25,20:00,Misafir,35%,267.0
7,2021-10-09,20:00,Amak-ı Hayal,33%,249.0
31,2021-10-12,19:00,Kamyon,92%,694.0
17,2021-10-29,20:00,Misafir (Cimri),34%,266.0
18,2021-10-30,20:00,Misafir (Cimri),33%,257.0
2,2021-11-08,20:30,Mavi Kuş,50%,379.0
8,2021-11-09,20:00,Amak-ı Hayal,24%,182.0
22,2021-11-13,20:00,Suç ve Ceza ,100%,751.0
23,2021-11-19,20:00,Mavi Kuş,100%,751.0
24,2021-11-20,20:00,Mavi Kuş,100%,751.0
25,2021-11-26,20:00,Cimri,100%,751.0
26,2021-11-27,20:00,Cimri,101%,755.0
27,2021-11-30,10:30 ,Küçük Kara Balık,50%,819.0
40,2021-11-30,13:30,Küçük Kara Balık,50%,409.5
21,2021-12-11,20:00,Suç ve Ceza ,100%,751.0
33,2021-12-18,19:00,Misafir (İL GÖÇ İDARESİ),100%,751.0
34,2021-12-21,10:30 ,Küçük Kara Balık,7%,116.0
44,2021-12-21,13:30,Küçük Kara Balık,7%,58.0
35,2021-12-24,19:00,Kamyon,82%,623.0
36,2021-12-25,15:00 ,Kamyon,65%,986.0
45,2021-12-25,19:00,Kamyon,65%,493.0
37,2021-12-28,10:30 ,Küçük Kara Balık,80%,1201.0
46,2021-12-28,13:30,Küçük Kara Balık,80%,600.5
38,2021-12-30,19:00,Mavi Kuş,100%,751.0
39,2021-12-31,15:00 ,Mavi Kuş,87%,655.0
47,2021-12-31,19:00,Mavi Kuş,87%,327.5
