_id,tarih,gun,saat,oyun,doluluk_orani,izleyici_sayisi
1,24.10.2018,Salı,20.0,Abdülhamid Ateş Çemberi,100%,751
2,23.10.2018,Çarşamba,20.0,Abdülhamid Ateş Çemberi,96%,745
3,29.10.2018,Pazartesi,20.0,Asım Bir Varoluş Mücadelesi,98%,748
4,30.10.2018,Salı,20.0,Asım Bir Varoluş Mücadelesi,76%,590
5,05.11.2018,Pazartesi,20.0,Bir Yunus Hikayesi,89%,675
6,06.11.2018,Salı,20.0,Bir Yunus Hikayesi,61%,469
7,12.11.2018,Pazartesi,20.0,Abdülhamid Ateş Çemberi,100%,769
8,19.11.2018,Pazartesi,20.0,Asım Bir Varoluş Mücadelesi,43%,331
9,20.11.2018,Salı,20.0,Asım Bir Varoluş Mücadelesi,58%,437
10,27.11.2018,Salı,19.3,Bir Yunus Hikayesi,57%,432
11,28.11.2018,Çarşamba,20.0,Bir Yunus Hikayesi,51%,389
12,03.12.2018,Pazartesi,20.0,Abdülhamid Ateş Çemberi,100%,752
13,04.12.2018,Salı,20.0,Abdülhamid Ateş Çemberi,100%,759
14,10.12.2018,Pazartesi,20.0,Asım Bir Varoluş Mücadelesi,64%,488
15,11.12.2018,Salı,20.0,Asım Bir Varoluş Mücadelesi,72%,544
16,24.12.2018,Pazartesi,20.0,Bir Yunus Hikayesi,58%,438
17,25.12.2018,Salı,20.0,Bir Yunus Hikayesi,49%,374
18,27.12. 2018,Perşembe,19.3,Asım Bir Varoluş Mücadelesi,98%,746
