,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
157,2020-01-07,17:00:00,3001,2961
158,2020-01-07,18:00:00,2589,2555
159,2020-01-07,19:00:00,2146,2125
160,2020-01-07,20:00:00,1395,1375
161,2020-01-07,21:00:00,919,908
162,2020-01-07,22:00:00,651,647
163,2020-01-07,23:00:00,304,303
164,2020-01-08,00:00:00,78,76
165,2020-01-08,01:00:00,11,11
166,2020-01-08,02:00:00,8,8
167,2020-01-08,03:00:00,5,5
168,2020-01-08,04:00:00,5,5
169,2020-01-08,05:00:00,2,2
170,2020-01-08,06:00:00,160,160
171,2020-01-08,07:00:00,2570,2554
172,2020-01-08,08:00:00,3026,3006
173,2020-01-08,09:00:00,2071,2052
174,2020-01-08,10:00:00,2104,2079
175,2020-01-08,11:00:00,2533,2508
176,2020-01-08,12:00:00,3142,3117
177,2020-01-08,13:00:00,2917,2896
178,2020-01-08,14:00:00,2738,2710
179,2020-01-08,15:00:00,3409,3371
180,2020-01-08,16:00:00,3422,3380
181,2020-01-08,17:00:00,2912,2875
182,2020-01-08,18:00:00,2568,2528
183,2020-01-08,19:00:00,2105,2077
184,2020-01-08,20:00:00,1447,1422
185,2020-01-08,21:00:00,903,886
186,2020-01-08,22:00:00,675,664
187,2020-01-08,23:00:00,293,288
188,2020-01-09,00:00:00,28,28
189,2020-01-09,01:00:00,13,13
190,2020-01-09,02:00:00,2,2
191,2020-01-09,05:00:00,2,2
192,2020-01-09,06:00:00,20,20
193,2020-01-09,07:00:00,1714,1708
194,2020-01-09,08:00:00,2948,2914
195,2020-01-09,09:00:00,1969,1951
196,2020-01-09,10:00:00,2036,2010
197,2020-01-09,11:00:00,2431,2405
198,2020-01-09,12:00:00,2904,2869
199,2020-01-09,13:00:00,2701,2672
200,2020-01-09,14:00:00,2481,2460
201,2020-01-09,15:00:00,3472,3443
202,2020-01-09,16:00:00,3515,3478
203,2020-01-09,17:00:00,3130,3092
204,2020-01-09,18:00:00,2775,2739
205,2020-01-09,19:00:00,2133,2114
206,2020-01-09,20:00:00,1436,1421
207,2020-01-09,21:00:00,943,928
208,2020-01-09,22:00:00,703,694
209,2020-01-09,23:00:00,272,270
210,2020-01-10,00:00:00,67,65
211,2020-01-10,01:00:00,13,13
212,2020-01-10,02:00:00,7,7
213,2020-01-10,03:00:00,4,4
214,2020-01-10,04:00:00,4,4
215,2020-01-10,05:00:00,6,6
216,2020-01-10,06:00:00,160,160
217,2020-01-10,07:00:00,2497,2478
218,2020-01-10,08:00:00,2929,2894
219,2020-01-10,09:00:00,2103,2085
220,2020-01-10,10:00:00,2027,2006
221,2020-01-10,11:00:00,2281,2255
222,2020-01-10,12:00:00,3059,3023
223,2020-01-10,13:00:00,2305,2278
224,2020-01-10,14:00:00,3053,3028
225,2020-01-10,15:00:00,3570,3524
226,2020-01-10,16:00:00,3804,3752
227,2020-01-10,17:00:00,3289,3258
228,2020-01-10,18:00:00,2873,2855
229,2020-01-10,19:00:00,2294,2268
230,2020-01-10,20:00:00,1492,1479
231,2020-01-10,21:00:00,1037,1017
232,2020-01-10,22:00:00,683,678
233,2020-01-10,23:00:00,283,280
234,2020-01-11,00:00:00,50,50
235,2020-01-11,01:00:00,13,13
236,2020-01-11,02:00:00,3,3
237,2020-01-11,03:00:00,2,2
238,2020-01-11,04:00:00,4,4
239,2020-01-11,05:00:00,3,3
240,2020-01-11,06:00:00,55,55
241,2020-01-11,07:00:00,912,904
242,2020-01-11,08:00:00,1718,1702
243,2020-01-11,09:00:00,1656,1635
244,2020-01-11,10:00:00,1723,1707
245,2020-01-11,11:00:00,2619,2588
246,2020-01-11,12:00:00,3502,3458
247,2020-01-11,13:00:00,3619,3562
248,2020-01-11,14:00:00,3267,3224
249,2020-01-11,15:00:00,3115,3076
250,2020-01-11,16:00:00,3144,3106
251,2020-01-11,17:00:00,3283,3249
252,2020-01-11,18:00:00,2883,2852
253,2020-01-11,19:00:00,2067,2044
254,2020-01-11,20:00:00,1327,1307
255,2020-01-11,21:00:00,903,897
256,2020-01-11,22:00:00,686,679
257,2020-01-11,23:00:00,364,360
258,2020-01-12,00:00:00,60,59
259,2020-01-12,01:00:00,11,11
260,2020-01-12,02:00:00,3,3
261,2020-01-12,03:00:00,3,3
262,2020-01-12,06:00:00,2,2
263,2020-01-12,07:00:00,147,147
264,2020-01-12,08:00:00,624,616
265,2020-01-12,09:00:00,862,854
266,2020-01-12,10:00:00,984,975
267,2020-01-12,11:00:00,1734,1714
268,2020-01-12,12:00:00,2481,2446
269,2020-01-12,13:00:00,2808,2772
270,2020-01-12,14:00:00,2744,2710
271,2020-01-12,15:00:00,2696,2661
272,2020-01-12,16:00:00,2844,2801
273,2020-01-12,17:00:00,2910,2867
274,2020-01-12,18:00:00,2407,2372
275,2020-01-12,19:00:00,1944,1913
276,2020-01-12,20:00:00,1389,1367
277,2020-01-12,21:00:00,988,976
278,2020-01-12,22:00:00,766,760
279,2020-01-12,23:00:00,390,385
280,2020-01-13,00:00:00,91,91
281,2020-01-13,01:00:00,20,20
282,2020-01-13,02:00:00,5,5
283,2020-01-13,03:00:00,4,4
284,2020-01-13,04:00:00,4,4
285,2020-01-13,05:00:00,2,2
286,2020-01-13,06:00:00,226,225
287,2020-01-13,07:00:00,3876,3840
288,2020-01-13,08:00:00,3855,3819
289,2020-01-13,09:00:00,2512,2490
290,2020-01-13,10:00:00,2469,2447
291,2020-01-13,11:00:00,2917,2882
292,2020-01-13,12:00:00,3734,3698
293,2020-01-13,13:00:00,3219,3192
294,2020-01-13,14:00:00,2993,2951
295,2020-01-13,15:00:00,3891,3859
296,2020-01-13,16:00:00,3863,3823
297,2020-01-13,17:00:00,3401,3363
298,2020-01-13,18:00:00,3162,3121
299,2020-01-13,19:00:00,2344,2314
300,2020-01-13,20:00:00,1397,1384
301,2020-01-13,21:00:00,991,980
302,2020-01-13,22:00:00,641,638
303,2020-01-13,23:00:00,276,271
304,2020-01-14,00:00:00,78,78
305,2020-01-14,01:00:00,11,11
306,2020-01-14,02:00:00,5,5
307,2020-01-14,04:00:00,3,3
308,2020-01-14,05:00:00,3,3
309,2020-01-14,06:00:00,106,106
310,2020-01-14,07:00:00,2143,2135
311,2020-01-14,08:00:00,2796,2769
312,2020-01-14,09:00:00,2173,2151
313,2020-01-14,10:00:00,2126,2107
314,2020-01-14,11:00:00,2718,2696
315,2020-01-14,12:00:00,3282,3240
316,2020-01-14,13:00:00,3042,3017
317,2020-01-14,14:00:00,2726,2680
318,2020-01-14,15:00:00,3515,3471
319,2020-01-14,16:00:00,3563,3509
320,2020-01-14,17:00:00,2916,2885
321,2020-01-14,18:00:00,2776,2750
322,2020-01-14,19:00:00,2116,2087
323,2020-01-14,20:00:00,1404,1384
324,2020-01-14,21:00:00,952,937
325,2020-01-14,22:00:00,647,638
326,2020-01-14,23:00:00,239,234
327,2020-01-15,00:00:00,66,66
328,2020-01-15,01:00:00,13,13
329,2020-01-15,02:00:00,2,2
330,2020-01-15,03:00:00,5,5
331,2020-01-15,04:00:00,3,3
332,2020-01-15,05:00:00,4,4
333,2020-01-15,06:00:00,110,110
334,2020-01-15,07:00:00,2010,1999
335,2020-01-15,08:00:00,2631,2599
336,2020-01-15,09:00:00,2130,2110
337,2020-01-15,10:00:00,2104,2082
338,2020-01-15,11:00:00,2507,2478
339,2020-01-15,12:00:00,3345,3302
340,2020-01-15,13:00:00,3045,3019
341,2020-01-15,14:00:00,2758,2720
342,2020-01-15,15:00:00,3326,3294
343,2020-01-15,16:00:00,3370,3327
344,2020-01-15,17:00:00,3109,3074
345,2020-01-15,18:00:00,2862,2829
346,2020-01-15,19:00:00,2221,2184
347,2020-01-15,20:00:00,1459,1434
348,2020-01-15,21:00:00,955,944
349,2020-01-15,22:00:00,709,707
350,2020-01-15,23:00:00,267,261
351,2020-01-16,00:00:00,69,69
352,2020-01-16,01:00:00,4,4
353,2020-01-16,02:00:00,3,3
354,2020-01-16,03:00:00,3,3
355,2020-01-16,04:00:00,2,2
356,2020-01-16,05:00:00,1,1
357,2020-01-16,06:00:00,109,108
358,2020-01-16,07:00:00,1893,1876
359,2020-01-16,08:00:00,2637,2612
360,2020-01-16,09:00:00,2037,2010
361,2020-01-16,10:00:00,2176,2160
362,2020-01-16,11:00:00,2557,2530
363,2020-01-16,12:00:00,3288,3250
364,2020-01-16,13:00:00,2992,2945
365,2020-01-16,14:00:00,2859,2822
366,2020-01-16,15:00:00,3084,3035
367,2020-01-16,16:00:00,3238,3195
368,2020-01-16,17:00:00,3003,2966
369,2020-01-16,18:00:00,2772,2736
370,2020-01-16,19:00:00,2120,2098
371,2020-01-16,20:00:00,1508,1487
372,2020-01-16,21:00:00,965,946
373,2020-01-16,22:00:00,670,666
374,2020-01-16,23:00:00,297,289
375,2020-01-17,00:00:00,64,64
376,2020-01-17,01:00:00,9,9
377,2020-01-17,02:00:00,4,4
378,2020-01-17,03:00:00,3,3
379,2020-01-17,05:00:00,4,4
380,2020-01-17,06:00:00,102,102
381,2020-01-17,07:00:00,1813,1797
382,2020-01-17,08:00:00,2805,2771
383,2020-01-17,09:00:00,2617,2592
384,2020-01-17,10:00:00,2930,2890
385,2020-01-17,11:00:00,3310,3261
386,2020-01-17,12:00:00,3388,3354
387,2020-01-17,13:00:00,2256,2232
388,2020-01-17,14:00:00,3673,3627
389,2020-01-17,15:00:00,3175,3120
390,2020-01-17,16:00:00,3106,3067
391,2020-01-17,17:00:00,2877,2839
392,2020-01-17,18:00:00,2625,2597
393,2020-01-17,19:00:00,2063,2035
394,2020-01-17,20:00:00,1340,1324
395,2020-01-17,21:00:00,942,932
396,2020-01-17,22:00:00,680,675
397,2020-01-17,23:00:00,305,304
398,2020-01-18,00:00:00,63,63
399,2020-01-18,01:00:00,17,17
400,2020-01-18,02:00:00,2,2
401,2020-01-18,03:00:00,3,3
402,2020-01-18,04:00:00,1,1
