tarih_saat,yukleme_adedi,yukleme_yapilan_kart_adedi
2021-01-08 18:00:00,1337,1316
2021-01-08 19:00:00,1284,1271
2021-01-08 20:00:00,653,646
2021-01-08 21:00:00,27,26
2021-01-08 22:00:00,13,12
2021-01-08 23:00:00,20,19
2021-01-09 00:00:00,2,2
2021-01-09 06:00:00,5,5
2021-01-09 07:00:00,37,36
2021-01-09 08:00:00,27,25
2021-01-09 09:00:00,22,22
2021-01-09 10:00:00,58,56
2021-01-09 11:00:00,75,73
2021-01-09 12:00:00,104,102
2021-01-09 13:00:00,187,182
2021-01-09 14:00:00,208,202
2021-01-09 15:00:00,171,167
2021-01-09 16:00:00,225,224
2021-01-09 17:00:00,90,89
2021-01-09 18:00:00,52,52
2021-01-09 19:00:00,21,21
2021-01-09 20:00:00,10,9
2021-01-09 21:00:00,3,3
2021-01-09 22:00:00,5,5
2021-01-09 23:00:00,3,3
2021-01-10 00:00:00,2,2
2021-01-10 03:00:00,2,2
2021-01-10 06:00:00,1,1
2021-01-10 07:00:00,7,7
2021-01-10 08:00:00,8,8
2021-01-10 09:00:00,15,15
2021-01-10 10:00:00,69,68
2021-01-10 11:00:00,111,109
2021-01-10 12:00:00,156,155
2021-01-10 13:00:00,245,243
2021-01-10 14:00:00,271,270
2021-01-10 15:00:00,275,271
2021-01-10 16:00:00,279,275
2021-01-10 17:00:00,77,74
2021-01-10 18:00:00,29,29
2021-01-10 19:00:00,18,18
2021-01-10 20:00:00,18,18
2021-01-10 21:00:00,12,12
2021-01-10 22:00:00,24,24
2021-01-10 23:00:00,7,7
2021-01-11 00:00:00,3,3
2021-01-11 01:00:00,1,1
2021-01-11 04:00:00,2,2
2021-01-11 05:00:00,2,2
2021-01-11 06:00:00,128,126
2021-01-11 07:00:00,1251,1236
2021-01-11 08:00:00,1307,1298
2021-01-11 09:00:00,1113,1104
2021-01-11 10:00:00,1124,1108
2021-01-11 11:00:00,1276,1263
2021-01-11 12:00:00,1577,1550
2021-01-11 13:00:00,1580,1556
2021-01-11 14:00:00,1360,1345
2021-01-11 15:00:00,1356,1345
2021-01-11 16:00:00,1292,1278
2021-01-11 17:00:00,1314,1304
2021-01-11 18:00:00,1627,1605
2021-01-11 19:00:00,1474,1461
2021-01-11 20:00:00,483,477
2021-01-11 21:00:00,40,39
2021-01-11 22:00:00,29,26
2021-01-11 23:00:00,17,17
2021-01-12 00:00:00,4,4
2021-01-12 01:00:00,1,1
2021-01-12 02:00:00,1,1
2021-01-12 03:00:00,1,1
2021-01-12 05:00:00,1,1
2021-01-12 06:00:00,85,85
2021-01-12 07:00:00,699,694
2021-01-12 08:00:00,945,936
2021-01-12 09:00:00,872,867
2021-01-12 10:00:00,903,900
2021-01-12 11:00:00,988,970
2021-01-12 12:00:00,1197,1186
2021-01-12 13:00:00,1286,1273
2021-01-12 14:00:00,1212,1187
2021-01-12 15:00:00,1108,1086
2021-01-12 16:00:00,1035,1027
2021-01-12 17:00:00,1163,1148
2021-01-12 18:00:00,1378,1365
2021-01-12 19:00:00,1216,1204
2021-01-12 20:00:00,378,373
2021-01-12 21:00:00,29,29
2021-01-12 22:00:00,19,19
2021-01-12 23:00:00,11,11
2021-01-13 00:00:00,5,5
2021-01-13 02:00:00,1,1
2021-01-13 06:00:00,58,58
2021-01-13 07:00:00,658,655
2021-01-13 08:00:00,903,893
2021-01-13 09:00:00,752,748
2021-01-13 10:00:00,778,768
2021-01-13 11:00:00,788,773
2021-01-13 12:00:00,1050,1038
2021-01-13 13:00:00,815,805
2021-01-13 14:00:00,730,722
2021-01-13 15:00:00,780,774
2021-01-13 16:00:00,763,756
2021-01-13 17:00:00,827,818
2021-01-13 18:00:00,1337,1314
2021-01-13 19:00:00,1108,1089
2021-01-13 20:00:00,366,363
2021-01-13 21:00:00,45,45
2021-01-13 22:00:00,23,19
2021-01-13 23:00:00,18,18
2021-01-14 00:00:00,3,3
2021-01-14 01:00:00,1,1
2021-01-14 04:00:00,1,1
2021-01-14 05:00:00,2,2
2021-01-14 06:00:00,50,50
2021-01-14 07:00:00,635,629
2021-01-14 08:00:00,880,866
2021-01-14 09:00:00,728,721
2021-01-14 10:00:00,760,750
2021-01-14 11:00:00,909,898
2021-01-14 12:00:00,1074,1060
2021-01-14 13:00:00,1226,1212
2021-01-14 14:00:00,1181,1166
2021-01-14 15:00:00,1073,1062
2021-01-14 16:00:00,1068,1060
2021-01-14 17:00:00,915,907
2021-01-14 18:00:00,1308,1295
2021-01-14 19:00:00,1128,1111
2021-01-14 20:00:00,402,397
2021-01-14 21:00:00,32,32
2021-01-14 22:00:00,26,23
2021-01-14 23:00:00,8,8
2021-01-15 00:00:00,1,1
2021-01-15 05:00:00,1,1
2021-01-15 06:00:00,68,68
2021-01-15 07:00:00,624,621
2021-01-15 08:00:00,865,855
2021-01-15 09:00:00,804,791
2021-01-15 10:00:00,802,792
2021-01-15 11:00:00,923,912
2021-01-15 12:00:00,1168,1154
2021-01-15 13:00:00,1117,1105
2021-01-15 14:00:00,1390,1376
2021-01-15 15:00:00,1205,1195
2021-01-15 16:00:00,1142,1131
2021-01-15 17:00:00,1192,1175
2021-01-15 18:00:00,1370,1353
2021-01-15 19:00:00,1313,1295
2021-01-15 20:00:00,458,452
2021-01-15 21:00:00,44,42
2021-01-15 22:00:00,16,12
2021-01-15 23:00:00,9,9
2021-01-16 00:00:00,2,2
2021-01-16 01:00:00,1,1
2021-01-16 02:00:00,1,1
2021-01-16 05:00:00,1,1
2021-01-16 06:00:00,9,9
2021-01-16 07:00:00,36,31
2021-01-16 08:00:00,32,30
2021-01-16 09:00:00,26,26
2021-01-16 10:00:00,51,51
2021-01-16 11:00:00,89,88
2021-01-16 12:00:00,145,144
2021-01-16 13:00:00,216,209
2021-01-16 14:00:00,208,207
2021-01-16 15:00:00,198,195
2021-01-16 16:00:00,254,250
2021-01-16 17:00:00,103,102
2021-01-16 18:00:00,53,50
2021-01-16 19:00:00,26,23
2021-01-16 20:00:00,9,8
2021-01-16 21:00:00,4,4
2021-01-16 22:00:00,4,3
2021-01-16 23:00:00,5,5
2021-01-17 00:00:00,1,1
2021-01-17 01:00:00,1,1
2021-01-17 03:00:00,1,1
2021-01-17 04:00:00,1,1
2021-01-17 06:00:00,1,1
2021-01-17 07:00:00,9,8
2021-01-17 08:00:00,21,18
2021-01-17 09:00:00,15,15
2021-01-17 10:00:00,65,64
2021-01-17 11:00:00,120,119
2021-01-17 12:00:00,175,175
2021-01-17 13:00:00,241,238
