_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
1,2020-01-01T00:00:00,0,75,75
2,2020-01-01T00:00:00,1,13,13
3,2020-01-01T00:00:00,2,4,4
4,2020-01-01T00:00:00,3,2,2
5,2020-01-01T00:00:00,5,3,3
6,2020-01-01T00:00:00,6,31,30
7,2020-01-01T00:00:00,7,587,582
8,2020-01-01T00:00:00,8,790,781
9,2020-01-01T00:00:00,9,846,827
10,2020-01-01T00:00:00,10,1186,1174
11,2020-01-01T00:00:00,11,1762,1734
12,2020-01-01T00:00:00,12,2307,2267
13,2020-01-01T00:00:00,13,2307,2286
14,2020-01-01T00:00:00,14,2319,2272
15,2020-01-01T00:00:00,15,2329,2284
16,2020-01-01T00:00:00,16,2645,2583
17,2020-01-01T00:00:00,17,2615,2566
18,2020-01-01T00:00:00,18,2277,2251
19,2020-01-01T00:00:00,19,1759,1734
20,2020-01-01T00:00:00,20,1276,1261
21,2020-01-01T00:00:00,21,928,912
22,2020-01-01T00:00:00,22,669,659
23,2020-01-01T00:00:00,23,290,283
24,2020-01-02T00:00:00,0,81,80
25,2020-01-02T00:00:00,1,15,15
26,2020-01-02T00:00:00,2,12,12
27,2020-01-02T00:00:00,3,2,2
28,2020-01-02T00:00:00,4,1,1
29,2020-01-02T00:00:00,5,5,5
30,2020-01-02T00:00:00,6,179,178
31,2020-01-02T00:00:00,7,2758,2735
32,2020-01-02T00:00:00,8,3123,3092
33,2020-01-02T00:00:00,9,1998,1975
34,2020-01-02T00:00:00,10,1800,1773
35,2020-01-02T00:00:00,11,2346,2319
36,2020-01-02T00:00:00,12,3051,3014
37,2020-01-02T00:00:00,13,2901,2865
38,2020-01-02T00:00:00,14,2616,2575
39,2020-01-02T00:00:00,15,3591,3548
40,2020-01-02T00:00:00,16,3601,3546
41,2020-01-02T00:00:00,17,3258,3210
42,2020-01-02T00:00:00,18,2797,2773
43,2020-01-02T00:00:00,19,2167,2139
44,2020-01-02T00:00:00,20,1424,1404
45,2020-01-02T00:00:00,21,925,916
46,2020-01-02T00:00:00,22,655,644
47,2020-01-02T00:00:00,23,280,277
48,2020-01-03T00:00:00,0,66,66
49,2020-01-03T00:00:00,1,13,13
50,2020-01-03T00:00:00,2,3,3
51,2020-01-03T00:00:00,3,3,3
52,2020-01-03T00:00:00,5,5,5
53,2020-01-03T00:00:00,6,129,129
54,2020-01-03T00:00:00,7,2400,2387
55,2020-01-03T00:00:00,8,2619,2597
56,2020-01-03T00:00:00,9,1779,1759
57,2020-01-03T00:00:00,10,1652,1634
58,2020-01-03T00:00:00,11,2001,1975
59,2020-01-03T00:00:00,12,2637,2606
60,2020-01-03T00:00:00,13,2171,2152
61,2020-01-03T00:00:00,14,2749,2708
62,2020-01-03T00:00:00,15,3246,3198
63,2020-01-03T00:00:00,16,3494,3441
