_id,tarih,deger,birim
140,2013-11-05T00:00:00,30600,Ton
141,2013-12-05T00:00:00,30230,Ton
142,2013-05-13T00:00:00,20590,Ton
143,2013-05-14T00:00:00,37465,Ton
144,2013-05-15T00:00:00,33295,Ton
145,2013-05-16T00:00:00,31405,Ton
146,2013-05-17T00:00:00,31660,Ton
147,2013-05-18T00:00:00,29725,Ton
148,2013-05-19T00:00:00,28765,Ton
149,2013-05-20T00:00:00,16670,Ton
150,2013-05-21T00:00:00,34680,Ton
151,2013-05-22T00:00:00,29760,Ton
152,2013-05-23T00:00:00,29335,Ton
153,2013-05-24T00:00:00,30895,Ton
154,2013-05-25T00:00:00,30030,Ton
155,2013-05-26T00:00:00,30920,Ton
156,2013-05-27T00:00:00,19295,Ton
157,2013-05-28T00:00:00,38675,Ton
158,2013-05-29T00:00:00,35760,Ton
159,2013-05-30T00:00:00,35165,Ton
160,2013-05-31T00:00:00,29600,Ton
161,2013-01-06T00:00:00,29880,Ton
162,2013-02-06T00:00:00,27590,Ton
163,2013-03-06T00:00:00,21310,Ton
164,2013-04-06T00:00:00,34950,Ton
165,2013-05-06T00:00:00,33440,Ton
166,2013-06-06T00:00:00,30290,Ton
167,2013-07-06T00:00:00,28530,Ton
168,2013-08-06T00:00:00,29650,Ton
169,2013-09-06T00:00:00,29205,Ton
170,2013-10-06T00:00:00,19470,Ton
171,2013-11-06T00:00:00,39865,Ton
172,2013-12-06T00:00:00,33065,Ton
173,2013-06-13T00:00:00,29885,Ton
174,2013-06-14T00:00:00,28425,Ton
175,2013-06-15T00:00:00,29765,Ton
176,2013-06-16T00:00:00,29945,Ton
177,2013-06-17T00:00:00,18430,Ton
178,2013-06-18T00:00:00,37615,Ton
179,2013-06-19T00:00:00,35685,Ton
180,2013-06-20T00:00:00,32380,Ton
181,2013-06-21T00:00:00,28395,Ton
182,2013-06-22T00:00:00,28405,Ton
183,2013-06-23T00:00:00,30495,Ton
184,2013-06-24T00:00:00,18195,Ton
185,2013-06-25T00:00:00,33310,Ton
186,2013-06-26T00:00:00,32895,Ton
187,2013-06-27T00:00:00,31900,Ton
188,2013-06-28T00:00:00,26010,Ton
189,2013-06-29T00:00:00,27450,Ton
190,2013-06-30T00:00:00,26935,Ton
191,2013-01-07T00:00:00,20395,Ton
192,2013-02-07T00:00:00,36140,Ton
193,2013-03-07T00:00:00,29940,Ton
194,2013-04-07T00:00:00,29455,Ton
195,2013-05-07T00:00:00,32785,Ton
196,2013-06-07T00:00:00,30370,Ton
197,2013-07-07T00:00:00,26635,Ton
198,2013-08-07T00:00:00,20505,Ton
199,2013-09-07T00:00:00,37100,Ton
200,2013-10-07T00:00:00,34850,Ton
201,2013-11-07T00:00:00,35255,Ton
202,2013-12-07T00:00:00,33930,Ton
203,2013-07-13T00:00:00,27830,Ton
204,2013-07-14T00:00:00,33145,Ton
205,2013-07-15T00:00:00,20195,Ton
206,2013-07-16T00:00:00,40090,Ton
207,2013-07-17T00:00:00,36010,Ton
208,2013-07-18T00:00:00,26720,Ton
209,2013-07-19T00:00:00,28780,Ton
210,2013-07-20T00:00:00,30045,Ton
211,2013-07-21T00:00:00,18735,Ton
212,2013-07-22T00:00:00,17575,Ton
213,2013-07-23T00:00:00,34640,Ton
214,2013-07-24T00:00:00,33390,Ton
215,2013-07-25T00:00:00,30155,Ton
216,2013-07-26T00:00:00,30015,Ton
217,2013-07-27T00:00:00,26800,Ton
218,2013-07-28T00:00:00,29910,Ton
219,2013-07-29T00:00:00,16575,Ton
220,2013-07-30T00:00:00,33845,Ton
221,2013-07-31T00:00:00,27085,Ton
222,2013-01-08T00:00:00,27180,Ton
223,2013-02-08T00:00:00,26395,Ton
224,2013-03-08T00:00:00,28310,Ton
225,2013-04-08T00:00:00,15965,Ton
226,2013-05-08T00:00:00,34745,Ton
227,2013-06-08T00:00:00,36985,Ton
228,2013-07-08T00:00:00,38170,Ton
229,2013-08-08T00:00:00,34085,Ton
230,2013-09-08T00:00:00,19025,Ton
