,tarih,değer (ton)
199,2013-10-07,"34850,0"
200,2013-11-07,"35255,0"
201,2013-12-07,"33930,0"
202,2013-07-13,"27830,0"
203,2013-07-14,"33145,0"
204,2013-07-15,"20195,0"
205,2013-07-16,"40090,0"
206,2013-07-17,"36010,0"
207,2013-07-18,"26720,0"
208,2013-07-19,"28780,0"
209,2013-07-20,"30045,0"
210,2013-07-21,"18735,0"
211,2013-07-22,"17575,0"
212,2013-07-23,"34640,0"
213,2013-07-24,"33390,0"
214,2013-07-25,"30155,0"
215,2013-07-26,"30015,0"
216,2013-07-27,"26800,0"
217,2013-07-28,"29910,0"
218,2013-07-29,"16575,0"
219,2013-07-30,"33845,0"
220,2013-07-31,"27085,0"
221,2013-01-08,"27180,0"
222,2013-02-08,"26395,0"
223,2013-03-08,"28310,0"
224,2013-04-08,"15965,0"
225,2013-05-08,"34745,0"
226,2013-06-08,"36985,0"
227,2013-07-08,"38170,0"
228,2013-08-08,"34085,0"
229,2013-09-08,"19025,0"
230,2013-10-08,"17745,0"
231,2013-11-08,"10600,0"
232,2013-12-08,"29985,0"
233,2013-08-13,"28055,0"
234,2013-08-14,"29255,0"
235,2013-08-15,"30360,0"
236,2013-08-16,"30080,0"
237,2013-08-17,"33220,0"
238,2013-08-18,"17405,0"
239,2013-08-19,"39410,0"
240,2013-08-20,"33560,0"
241,2013-08-21,"30715,0"
242,2013-08-22,"34595,0"
243,2013-08-23,"28355,0"
244,2013-08-24,"31385,0"
245,2013-08-25,"19440,0"
246,2013-08-26,"36205,0"
247,2013-08-27,"36405,0"
248,2013-08-28,"31750,0"
249,2013-08-29,"31575,0"
250,2013-08-30,"31220,0"
251,2013-08-31,"32945,0"
252,2013-01-09,"20085,0"
253,2013-02-09,"41655,0"
254,2013-03-09,"36380,0"
255,2013-04-09,"35145,0"
256,2013-05-09,"32660,0"
257,2013-06-09,"33470,0"
258,2013-07-09,"29340,0"
259,2013-08-09,"17810,0"
260,2013-09-09,"40560,0"
261,2013-10-09,"36555,0"
262,2013-11-09,"33730,0"
263,2013-12-09,"31085,0"
264,2013-09-13,"30515,0"
265,2013-09-14,"32595,0"
266,2013-09-15,"18500,0"
267,2013-09-16,"39155,0"
268,2013-09-17,"35660,0"
269,2013-09-18,"30695,0"
270,2013-09-19,"32940,0"
271,2013-09-20,"30820,0"
272,2013-09-21,"31175,0"
273,2013-09-22,"18000,0"
274,2013-09-23,"42890,0"
275,2013-09-24,"37620,0"
276,2013-09-25,"32350,0"
277,2013-09-26,"31870,0"
278,2013-09-27,"31300,0"
279,2013-09-28,"31620,0"
280,2013-09-29,"16160,0"
281,2013-09-30,"38825,0"
282,2013-01-10,"37605,0"
283,2013-02-10,"32725,0"
284,2013-03-10,"27405,0"
285,2013-04-10,"30405,0"
286,2013-05-10,"31130,0"
287,2013-06-10,"17720,0"
288,2013-07-10,"39105,0"
289,2013-08-10,"36175,0"
290,2013-09-10,"34970,0"
291,2013-10-10,"36955,0"
292,2013-11-10,"35505,0"
293,2013-12-10,"35305,0"
294,2013-10-13,"23415,0"
295,2013-10-14,"44220,0"
296,2013-10-15,"38760,0"
297,2013-10-16,"57635,0"
298,2013-10-17,"41910,0"
299,2013-10-18,"30030,0"
300,2013-10-19,"31330,0"
301,2013-10-20,"18530,0"
302,2013-10-21,"40440,0"
303,2013-10-22,"41715,0"
304,2013-10-23,"35680,0"
305,2013-10-24,"35520,0"
306,2013-10-25,"33590,0"
307,2013-10-26,"34035,0"
308,2013-10-27,"21625,0"
309,2013-10-28,"41400,0"
310,2013-10-29,"37070,0"
311,2013-10-30,"34470,0"
312,2013-10-31,"32950,0"
313,2013-01-11,"31060,0"
314,2013-02-11,"31835,0"
315,2013-03-11,"17990,0"
316,2013-04-11,"40170,0"
317,2013-05-11,"34725,0"
318,2013-06-11,"35790,0"
319,2013-07-11,"36760,0"
320,2013-08-11,"33625,0"
321,2013-09-11,"31990,0"
322,2013-10-11,"18000,0"
323,2013-11-11,"42960,0"
324,2013-12-11,"38700,0"
325,2013-11-13,"32125,0"
326,2013-11-14,"33415,0"
327,2013-11-15,"31815,0"
328,2013-11-16,"33185,0"
329,2013-11-17,"18435,0"
330,2013-11-18,"42350,0"
331,2013-11-19,"37655,0"
332,2013-11-20,"35410,0"
333,2013-11-21,"28880,0"
334,2013-11-22,"30745,0"
335,2013-11-23,"34540,0"
336,2013-11-24,"21770,0"
337,2013-11-25,"45025,0"
338,2013-11-26,"39015,0"
339,2013-11-27,"40230,0"
340,2013-11-28,"37315,0"
341,2013-11-29,"37705,0"
342,2013-11-30,"35135,0"
343,2013-01-12,"19445,0"
344,2013-02-12,"42300,0"
