_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
126,2019-01-06T00:00:00,9,702,693
127,2019-01-06T00:00:00,10,759,753
128,2019-01-06T00:00:00,11,1188,1163
129,2019-01-06T00:00:00,12,2068,2049
130,2019-01-06T00:00:00,13,2198,2167
131,2019-01-06T00:00:00,14,2309,2284
132,2019-01-06T00:00:00,15,2144,2122
133,2019-01-06T00:00:00,16,2247,2221
134,2019-01-06T00:00:00,17,2286,2266
135,2019-01-06T00:00:00,18,2049,2026
136,2019-01-06T00:00:00,19,1621,1598
137,2019-01-06T00:00:00,20,1168,1158
138,2019-01-06T00:00:00,21,937,924
139,2019-01-06T00:00:00,22,634,626
140,2019-01-06T00:00:00,23,285,285
141,2019-01-07T00:00:00,0,59,58
142,2019-01-07T00:00:00,1,12,12
143,2019-01-07T00:00:00,2,4,4
144,2019-01-07T00:00:00,3,9,9
145,2019-01-07T00:00:00,4,1,1
146,2019-01-07T00:00:00,5,1,1
147,2019-01-07T00:00:00,6,173,173
148,2019-01-07T00:00:00,7,3463,3435
149,2019-01-07T00:00:00,8,3531,3503
150,2019-01-07T00:00:00,9,2467,2449
151,2019-01-07T00:00:00,10,2228,2210
152,2019-01-07T00:00:00,11,2666,2645
153,2019-01-07T00:00:00,12,3347,3324
154,2019-01-07T00:00:00,13,3070,3040
155,2019-01-07T00:00:00,14,2829,2801
156,2019-01-07T00:00:00,15,3673,3645
157,2019-01-07T00:00:00,16,3619,3579
158,2019-01-07T00:00:00,17,3498,3460
159,2019-01-07T00:00:00,18,2974,2945
160,2019-01-07T00:00:00,19,2148,2123
161,2019-01-07T00:00:00,20,1300,1284
162,2019-01-07T00:00:00,21,944,930
163,2019-01-07T00:00:00,22,610,601
164,2019-01-07T00:00:00,23,246,244
165,2019-01-08T00:00:00,0,55,54
166,2019-01-08T00:00:00,1,8,8
167,2019-01-08T00:00:00,3,1,1
168,2019-01-08T00:00:00,5,1,1
169,2019-01-08T00:00:00,6,71,71
170,2019-01-08T00:00:00,7,1119,1110
171,2019-01-08T00:00:00,8,1870,1859
172,2019-01-08T00:00:00,9,1654,1640
173,2019-01-08T00:00:00,10,1706,1680
174,2019-01-08T00:00:00,11,1964,1941
175,2019-01-08T00:00:00,12,2478,2452
176,2019-01-08T00:00:00,13,2134,2116
177,2019-01-08T00:00:00,14,2204,2182
178,2019-01-08T00:00:00,15,2170,2147
179,2019-01-08T00:00:00,16,2210,2183
180,2019-01-08T00:00:00,17,2590,2565
181,2019-01-08T00:00:00,18,2469,2450
182,2019-01-08T00:00:00,19,1786,1765
183,2019-01-08T00:00:00,20,1001,982
184,2019-01-08T00:00:00,21,730,726
185,2019-01-08T00:00:00,22,510,505
186,2019-01-08T00:00:00,23,219,216
187,2019-01-09T00:00:00,0,36,36
188,2019-01-09T00:00:00,1,14,14
189,2019-01-09T00:00:00,2,2,2
190,2019-01-09T00:00:00,3,1,1
191,2019-01-09T00:00:00,4,4,4
192,2019-01-09T00:00:00,5,1,1
193,2019-01-09T00:00:00,6,70,70
194,2019-01-09T00:00:00,7,1105,1096
195,2019-01-09T00:00:00,8,1912,1897
196,2019-01-09T00:00:00,9,1821,1803
197,2019-01-09T00:00:00,10,1816,1803
198,2019-01-09T00:00:00,11,2229,2212
199,2019-01-09T00:00:00,12,2853,2822
200,2019-01-09T00:00:00,13,2704,2684
201,2019-01-09T00:00:00,14,2629,2601
202,2019-01-09T00:00:00,15,2517,2486
203,2019-01-09T00:00:00,16,2502,2481
204,2019-01-09T00:00:00,17,2857,2825
205,2019-01-09T00:00:00,18,2625,2590
206,2019-01-09T00:00:00,19,1990,1967
207,2019-01-09T00:00:00,20,1168,1153
208,2019-01-09T00:00:00,21,793,785
209,2019-01-09T00:00:00,22,543,536
210,2019-01-09T00:00:00,23,294,292
211,2019-01-10T00:00:00,0,36,35
212,2019-01-10T00:00:00,1,7,7
213,2019-01-10T00:00:00,2,2,2
214,2019-01-10T00:00:00,4,1,1
215,2019-01-10T00:00:00,5,2,2
216,2019-01-10T00:00:00,6,109,107
217,2019-01-10T00:00:00,7,2232,2216
218,2019-01-10T00:00:00,8,2846,2827
219,2019-01-10T00:00:00,9,2011,1989
220,2019-01-10T00:00:00,10,1938,1924
221,2019-01-10T00:00:00,11,2360,2340
222,2019-01-10T00:00:00,12,2929,2904
223,2019-01-10T00:00:00,13,2794,2767
224,2019-01-10T00:00:00,14,2523,2506
225,2019-01-10T00:00:00,15,3283,3247
226,2019-01-10T00:00:00,16,3142,3110
227,2019-01-10T00:00:00,17,3009,2982
228,2019-01-10T00:00:00,18,2843,2815
229,2019-01-10T00:00:00,19,2078,2060
230,2019-01-10T00:00:00,20,1345,1325
231,2019-01-10T00:00:00,21,889,883
232,2019-01-10T00:00:00,22,617,607
233,2019-01-10T00:00:00,23,286,284
234,2019-01-11T00:00:00,0,49,48
235,2019-01-11T00:00:00,1,7,7
236,2019-01-11T00:00:00,3,2,2
237,2019-01-11T00:00:00,4,1,1
238,2019-01-11T00:00:00,5,5,5
239,2019-01-11T00:00:00,6,108,108
240,2019-01-11T00:00:00,7,1940,1927
241,2019-01-11T00:00:00,8,2594,2572
242,2019-01-11T00:00:00,9,2039,2025
243,2019-01-11T00:00:00,10,1897,1883
244,2019-01-11T00:00:00,11,2160,2132
245,2019-01-11T00:00:00,12,2827,2789
246,2019-01-11T00:00:00,13,2114,2094
247,2019-01-11T00:00:00,14,2858,2819
248,2019-01-11T00:00:00,15,3259,3234
249,2019-01-11T00:00:00,16,3621,3584
250,2019-01-11T00:00:00,17,3282,3252
251,2019-01-11T00:00:00,18,2783,2748
252,2019-01-11T00:00:00,19,2128,2108
253,2019-01-11T00:00:00,20,1320,1309
254,2019-01-11T00:00:00,21,971,959
255,2019-01-11T00:00:00,22,673,664
256,2019-01-11T00:00:00,23,321,318
257,2019-01-12T00:00:00,0,59,58
258,2019-01-12T00:00:00,1,14,13
259,2019-01-12T00:00:00,2,3,3
260,2019-01-12T00:00:00,3,3,3
261,2019-01-12T00:00:00,5,2,2
262,2019-01-12T00:00:00,6,62,62
263,2019-01-12T00:00:00,7,939,934
264,2019-01-12T00:00:00,8,2003,1986
265,2019-01-12T00:00:00,9,1339,1318
266,2019-01-12T00:00:00,10,1873,1853
267,2019-01-12T00:00:00,11,2351,2331
268,2019-01-12T00:00:00,12,3264,3231
269,2019-01-12T00:00:00,13,3055,3022
270,2019-01-12T00:00:00,14,2825,2786
271,2019-01-12T00:00:00,15,2803,2774
272,2019-01-12T00:00:00,16,2868,2837
273,2019-01-12T00:00:00,17,2982,2960
274,2019-01-12T00:00:00,18,2575,2550
275,2019-01-12T00:00:00,19,1672,1644
276,2019-01-12T00:00:00,20,1099,1086
277,2019-01-12T00:00:00,21,813,797
278,2019-01-12T00:00:00,22,638,624
279,2019-01-12T00:00:00,23,358,355
280,2019-01-13T00:00:00,0,51,50
281,2019-01-13T00:00:00,1,5,5
282,2019-01-13T00:00:00,4,1,1
283,2019-01-13T00:00:00,6,8,8
284,2019-01-13T00:00:00,7,224,221
285,2019-01-13T00:00:00,8,752,746
286,2019-01-13T00:00:00,9,677,669
287,2019-01-13T00:00:00,10,1067,1054
288,2019-01-13T00:00:00,11,1423,1410
289,2019-01-13T00:00:00,12,2284,2263
290,2019-01-13T00:00:00,13,2405,2387
291,2019-01-13T00:00:00,14,2522,2496
292,2019-01-13T00:00:00,15,2566,2531
293,2019-01-13T00:00:00,16,2415,2389
294,2019-01-13T00:00:00,17,2529,2487
295,2019-01-13T00:00:00,18,2134,2115
296,2019-01-13T00:00:00,19,1543,1527
297,2019-01-13T00:00:00,20,1140,1130
298,2019-01-13T00:00:00,21,950,939
299,2019-01-13T00:00:00,22,636,625
300,2019-01-13T00:00:00,23,337,334
301,2019-01-14T00:00:00,0,63,63
302,2019-01-14T00:00:00,1,7,7
303,2019-01-14T00:00:00,2,5,5
304,2019-01-14T00:00:00,3,3,3
305,2019-01-14T00:00:00,4,3,3
306,2019-01-14T00:00:00,5,3,3
307,2019-01-14T00:00:00,6,149,148
308,2019-01-14T00:00:00,7,3041,3010
309,2019-01-14T00:00:00,8,3421,3383
310,2019-01-14T00:00:00,9,2252,2234
311,2019-01-14T00:00:00,10,2326,2305
312,2019-01-14T00:00:00,11,2738,2709
313,2019-01-14T00:00:00,12,3605,3570
314,2019-01-14T00:00:00,13,3051,3026
315,2019-01-14T00:00:00,14,2988,2941
316,2019-01-14T00:00:00,15,3671,3634
317,2019-01-14T00:00:00,16,3444,3414
318,2019-01-14T00:00:00,17,3326,3286
319,2019-01-14T00:00:00,18,3039,3011
320,2019-01-14T00:00:00,19,2091,2065
321,2019-01-14T00:00:00,20,1309,1300
322,2019-01-14T00:00:00,21,926,914
323,2019-01-14T00:00:00,22,626,620
324,2019-01-14T00:00:00,23,289,285
325,2019-01-15T00:00:00,0,52,52
326,2019-01-15T00:00:00,1,5,5
327,2019-01-15T00:00:00,2,2,2
328,2019-01-15T00:00:00,3,5,5
329,2019-01-15T00:00:00,4,2,2
330,2019-01-15T00:00:00,5,4,4
331,2019-01-15T00:00:00,6,117,116
332,2019-01-15T00:00:00,7,1933,1923
333,2019-01-15T00:00:00,8,2650,2628
334,2019-01-15T00:00:00,9,1975,1959
335,2019-01-15T00:00:00,10,2127,2106
336,2019-01-15T00:00:00,11,2546,2521
337,2019-01-15T00:00:00,12,2894,2867
338,2019-01-15T00:00:00,13,2637,2606
339,2019-01-15T00:00:00,14,2306,2278
340,2019-01-15T00:00:00,15,2999,2967
341,2019-01-15T00:00:00,16,2731,2703
342,2019-01-15T00:00:00,17,2484,2462
343,2019-01-15T00:00:00,18,2480,2459
344,2019-01-15T00:00:00,19,1778,1762
345,2019-01-15T00:00:00,20,1218,1209
346,2019-01-15T00:00:00,21,893,880
347,2019-01-15T00:00:00,22,603,595
348,2019-01-15T00:00:00,23,282,278
349,2019-01-16T00:00:00,0,35,34
350,2019-01-16T00:00:00,1,9,9
351,2019-01-16T00:00:00,2,3,3
352,2019-01-16T00:00:00,3,4,4
353,2019-01-16T00:00:00,6,102,101
354,2019-01-16T00:00:00,7,1765,1752
355,2019-01-16T00:00:00,8,2286,2267
356,2019-01-16T00:00:00,9,1696,1683
357,2019-01-16T00:00:00,10,1623,1604
358,2019-01-16T00:00:00,11,1997,1984
359,2019-01-16T00:00:00,12,2528,2495
360,2019-01-16T00:00:00,13,2268,2240
361,2019-01-16T00:00:00,14,2392,2370
362,2019-01-16T00:00:00,15,2747,2724
363,2019-01-16T00:00:00,16,2839,2809
364,2019-01-16T00:00:00,17,2757,2725
365,2019-01-16T00:00:00,18,2715,2685
366,2019-01-16T00:00:00,19,1943,1918
367,2019-01-16T00:00:00,20,1208,1188
368,2019-01-16T00:00:00,21,893,882
369,2019-01-16T00:00:00,22,583,576
370,2019-01-16T00:00:00,23,277,274
371,2019-01-17T00:00:00,0,38,38
372,2019-01-17T00:00:00,1,6,6
373,2019-01-17T00:00:00,2,3,3
374,2019-01-17T00:00:00,3,2,2
375,2019-01-17T00:00:00,4,2,2
376,2019-01-17T00:00:00,5,3,3
377,2019-01-17T00:00:00,6,98,98
378,2019-01-17T00:00:00,7,1586,1578
379,2019-01-17T00:00:00,8,2357,2339
380,2019-01-17T00:00:00,9,1906,1883
381,2019-01-17T00:00:00,10,1837,1821
382,2019-01-17T00:00:00,11,2442,2418
383,2019-01-17T00:00:00,12,3331,3292
