,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
164,2021-01-09,06:00:00,5,5
165,2021-01-09,07:00:00,37,36
166,2021-01-09,08:00:00,27,25
167,2021-01-09,09:00:00,22,22
168,2021-01-09,10:00:00,58,56
169,2021-01-09,11:00:00,75,73
170,2021-01-09,12:00:00,104,102
171,2021-01-09,13:00:00,187,182
172,2021-01-09,14:00:00,208,202
173,2021-01-09,15:00:00,171,167
174,2021-01-09,16:00:00,225,224
175,2021-01-09,17:00:00,90,89
176,2021-01-09,18:00:00,52,52
177,2021-01-09,19:00:00,21,21
178,2021-01-09,20:00:00,10,9
179,2021-01-09,21:00:00,3,3
180,2021-01-09,22:00:00,5,5
181,2021-01-09,23:00:00,3,3
182,2021-01-10,00:00:00,2,2
183,2021-01-10,03:00:00,2,2
184,2021-01-10,06:00:00,1,1
185,2021-01-10,07:00:00,7,7
186,2021-01-10,08:00:00,8,8
187,2021-01-10,09:00:00,15,15
188,2021-01-10,10:00:00,69,68
189,2021-01-10,11:00:00,111,109
190,2021-01-10,12:00:00,156,155
191,2021-01-10,13:00:00,245,243
192,2021-01-10,14:00:00,271,270
193,2021-01-10,15:00:00,275,271
194,2021-01-10,16:00:00,279,275
195,2021-01-10,17:00:00,77,74
196,2021-01-10,18:00:00,29,29
197,2021-01-10,19:00:00,18,18
198,2021-01-10,20:00:00,18,18
199,2021-01-10,21:00:00,12,12
200,2021-01-10,22:00:00,24,24
201,2021-01-10,23:00:00,7,7
202,2021-01-11,00:00:00,3,3
203,2021-01-11,01:00:00,1,1
204,2021-01-11,04:00:00,2,2
205,2021-01-11,05:00:00,2,2
206,2021-01-11,06:00:00,128,126
207,2021-01-11,07:00:00,1251,1236
208,2021-01-11,08:00:00,1307,1298
209,2021-01-11,09:00:00,1113,1104
210,2021-01-11,10:00:00,1124,1108
211,2021-01-11,11:00:00,1276,1263
212,2021-01-11,12:00:00,1577,1550
213,2021-01-11,13:00:00,1580,1556
214,2021-01-11,14:00:00,1360,1345
215,2021-01-11,15:00:00,1356,1345
216,2021-01-11,16:00:00,1292,1278
217,2021-01-11,17:00:00,1314,1304
218,2021-01-11,18:00:00,1627,1605
219,2021-01-11,19:00:00,1474,1461
220,2021-01-11,20:00:00,483,477
221,2021-01-11,21:00:00,40,39
222,2021-01-11,22:00:00,29,26
223,2021-01-11,23:00:00,17,17
224,2021-01-12,00:00:00,4,4
225,2021-01-12,01:00:00,1,1
226,2021-01-12,02:00:00,1,1
227,2021-01-12,03:00:00,1,1
228,2021-01-12,05:00:00,1,1
229,2021-01-12,06:00:00,85,85
230,2021-01-12,07:00:00,699,694
231,2021-01-12,08:00:00,945,936
232,2021-01-12,09:00:00,872,867
233,2021-01-12,10:00:00,903,900
234,2021-01-12,11:00:00,988,970
235,2021-01-12,12:00:00,1197,1186
236,2021-01-12,13:00:00,1286,1273
237,2021-01-12,14:00:00,1212,1187
238,2021-01-12,15:00:00,1108,1086
239,2021-01-12,16:00:00,1035,1027
240,2021-01-12,17:00:00,1163,1148
241,2021-01-12,18:00:00,1378,1365
242,2021-01-12,19:00:00,1216,1204
243,2021-01-12,20:00:00,378,373
244,2021-01-12,21:00:00,29,29
245,2021-01-12,22:00:00,19,19
246,2021-01-12,23:00:00,11,11
247,2021-01-13,00:00:00,5,5
248,2021-01-13,02:00:00,1,1
249,2021-01-13,06:00:00,58,58
250,2021-01-13,07:00:00,658,655
251,2021-01-13,08:00:00,903,893
252,2021-01-13,09:00:00,752,748
253,2021-01-13,10:00:00,778,768
254,2021-01-13,11:00:00,788,773
255,2021-01-13,12:00:00,1050,1038
256,2021-01-13,13:00:00,815,805
257,2021-01-13,14:00:00,730,722
258,2021-01-13,15:00:00,780,774
259,2021-01-13,16:00:00,763,756
260,2021-01-13,17:00:00,827,818
261,2021-01-13,18:00:00,1337,1314
262,2021-01-13,19:00:00,1108,1089
263,2021-01-13,20:00:00,366,363
264,2021-01-13,21:00:00,45,45
265,2021-01-13,22:00:00,23,19
266,2021-01-13,23:00:00,18,18
267,2021-01-14,00:00:00,3,3
268,2021-01-14,01:00:00,1,1
269,2021-01-14,04:00:00,1,1
270,2021-01-14,05:00:00,2,2
271,2021-01-14,06:00:00,50,50
272,2021-01-14,07:00:00,635,629
273,2021-01-14,08:00:00,880,866
274,2021-01-14,09:00:00,728,721
275,2021-01-14,10:00:00,760,750
276,2021-01-14,11:00:00,909,898
277,2021-01-14,12:00:00,1074,1060
278,2021-01-14,13:00:00,1226,1212
279,2021-01-14,14:00:00,1181,1166
280,2021-01-14,15:00:00,1073,1062
281,2021-01-14,16:00:00,1068,1060
282,2021-01-14,17:00:00,915,907
283,2021-01-14,18:00:00,1308,1295
284,2021-01-14,19:00:00,1128,1111
285,2021-01-14,20:00:00,402,397
286,2021-01-14,21:00:00,32,32
287,2021-01-14,22:00:00,26,23
288,2021-01-14,23:00:00,8,8
289,2021-01-15,00:00:00,1,1
290,2021-01-15,05:00:00,1,1
291,2021-01-15,06:00:00,68,68
292,2021-01-15,07:00:00,624,621
293,2021-01-15,08:00:00,865,855
294,2021-01-15,09:00:00,804,791
295,2021-01-15,10:00:00,802,792
296,2021-01-15,11:00:00,923,912
297,2021-01-15,12:00:00,1168,1154
298,2021-01-15,13:00:00,1117,1105
299,2021-01-15,14:00:00,1390,1376
300,2021-01-15,15:00:00,1205,1195
301,2021-01-15,16:00:00,1142,1131
302,2021-01-15,17:00:00,1192,1175
