,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
0,2021-01-01,00:00:00,2,2
1,2021-01-01,01:00:00,1,1
2,2021-01-01,04:00:00,1,1
3,2021-01-01,07:00:00,27,27
4,2021-01-01,08:00:00,19,19
5,2021-01-01,09:00:00,24,23
6,2021-01-01,10:00:00,52,51
7,2021-01-01,11:00:00,56,56
8,2021-01-01,12:00:00,38,38
9,2021-01-01,13:00:00,132,128
10,2021-01-01,14:00:00,124,118
11,2021-01-01,15:00:00,128,125
12,2021-01-01,16:00:00,146,140
13,2021-01-01,17:00:00,53,53
14,2021-01-01,18:00:00,34,34
15,2021-01-01,19:00:00,17,16
16,2021-01-01,20:00:00,13,12
17,2021-01-01,21:00:00,7,7
18,2021-01-01,22:00:00,4,4
19,2021-01-01,23:00:00,7,7
20,2021-01-02,00:00:00,1,1
21,2021-01-02,06:00:00,5,5
22,2021-01-02,07:00:00,22,21
23,2021-01-02,08:00:00,32,31
24,2021-01-02,09:00:00,20,20
25,2021-01-02,10:00:00,58,56
26,2021-01-02,11:00:00,63,63
27,2021-01-02,12:00:00,114,113
28,2021-01-02,13:00:00,144,141
29,2021-01-02,14:00:00,188,185
30,2021-01-02,15:00:00,167,166
31,2021-01-02,16:00:00,213,210
32,2021-01-02,17:00:00,68,67
33,2021-01-02,18:00:00,51,40
34,2021-01-02,19:00:00,29,23
35,2021-01-02,20:00:00,9,8
36,2021-01-02,21:00:00,6,5
37,2021-01-02,22:00:00,3,3
38,2021-01-02,23:00:00,1,1
39,2021-01-03,03:00:00,1,1
40,2021-01-03,04:00:00,1,1
41,2021-01-03,05:00:00,1,1
42,2021-01-03,06:00:00,2,2
43,2021-01-03,07:00:00,3,3
44,2021-01-03,08:00:00,18,9
45,2021-01-03,09:00:00,11,11
46,2021-01-03,10:00:00,61,60
47,2021-01-03,11:00:00,85,85
48,2021-01-03,12:00:00,120,112
49,2021-01-03,13:00:00,174,174
50,2021-01-03,14:00:00,248,245
51,2021-01-03,15:00:00,280,276
52,2021-01-03,16:00:00,278,276
53,2021-01-03,17:00:00,79,71
54,2021-01-03,18:00:00,32,32
55,2021-01-03,19:00:00,18,18
56,2021-01-03,20:00:00,11,11
57,2021-01-03,21:00:00,20,20
58,2021-01-03,22:00:00,27,27
59,2021-01-03,23:00:00,21,20
60,2021-01-04,00:00:00,9,9
61,2021-01-04,04:00:00,2,2
62,2021-01-04,05:00:00,3,3
63,2021-01-04,06:00:00,94,94
64,2021-01-04,07:00:00,1268,1257
65,2021-01-04,08:00:00,1270,1260
66,2021-01-04,09:00:00,1085,1077
67,2021-01-04,10:00:00,1014,1007
68,2021-01-04,11:00:00,1196,1184
69,2021-01-04,12:00:00,1405,1387
70,2021-01-04,13:00:00,1334,1318
71,2021-01-04,14:00:00,1400,1386
72,2021-01-04,15:00:00,1168,1158
73,2021-01-04,16:00:00,1339,1327
74,2021-01-04,17:00:00,1367,1347
75,2021-01-04,18:00:00,1778,1756
76,2021-01-04,19:00:00,1497,1483
77,2021-01-04,20:00:00,625,618
78,2021-01-04,21:00:00,44,43
79,2021-01-04,22:00:00,36,36
80,2021-01-04,23:00:00,24,21
81,2021-01-05,00:00:00,2,2
82,2021-01-05,03:00:00,1,1
83,2021-01-05,04:00:00,1,1
84,2021-01-05,05:00:00,3,3
85,2021-01-05,06:00:00,81,81
86,2021-01-05,07:00:00,744,737
87,2021-01-05,08:00:00,955,948
88,2021-01-05,09:00:00,881,872
89,2021-01-05,10:00:00,909,900
90,2021-01-05,11:00:00,986,970
91,2021-01-05,12:00:00,1186,1168
92,2021-01-05,13:00:00,1244,1229
93,2021-01-05,14:00:00,1249,1237
94,2021-01-05,15:00:00,1141,1131
95,2021-01-05,16:00:00,1110,1094
96,2021-01-05,17:00:00,1022,1014
97,2021-01-05,18:00:00,1322,1306
98,2021-01-05,19:00:00,1280,1266
99,2021-01-05,20:00:00,575,569
100,2021-01-05,21:00:00,36,36
101,2021-01-05,22:00:00,15,15
102,2021-01-05,23:00:00,17,17
103,2021-01-06,05:00:00,1,1
104,2021-01-06,06:00:00,92,91
105,2021-01-06,07:00:00,763,760
106,2021-01-06,08:00:00,947,939
107,2021-01-06,09:00:00,833,826
108,2021-01-06,10:00:00,885,878
109,2021-01-06,11:00:00,1049,1032
110,2021-01-06,12:00:00,1143,1126
111,2021-01-06,13:00:00,1183,1172
112,2021-01-06,14:00:00,1127,1113
113,2021-01-06,15:00:00,1089,1070
114,2021-01-06,16:00:00,1080,1068
115,2021-01-06,17:00:00,1174,1156
116,2021-01-06,18:00:00,1411,1393
117,2021-01-06,19:00:00,1283,1271
118,2021-01-06,20:00:00,553,539
119,2021-01-06,21:00:00,25,25
120,2021-01-06,22:00:00,17,17
121,2021-01-06,23:00:00,19,19
122,2021-01-07,01:00:00,1,1
123,2021-01-07,05:00:00,1,1
124,2021-01-07,06:00:00,85,85
125,2021-01-07,07:00:00,586,582
126,2021-01-07,08:00:00,518,515
127,2021-01-07,09:00:00,601,594
128,2021-01-07,10:00:00,907,892
129,2021-01-07,11:00:00,1023,1013
130,2021-01-07,12:00:00,1200,1186
131,2021-01-07,13:00:00,1245,1228
132,2021-01-07,14:00:00,1112,1100
133,2021-01-07,15:00:00,1135,1122
134,2021-01-07,16:00:00,1160,1142
135,2021-01-07,17:00:00,1151,1137
136,2021-01-07,18:00:00,1405,1391
137,2021-01-07,19:00:00,1254,1245
138,2021-01-07,20:00:00,536,530
139,2021-01-07,21:00:00,44,42
140,2021-01-07,22:00:00,27,27
141,2021-01-07,23:00:00,16,16
142,2021-01-08,00:00:00,1,1
143,2021-01-08,03:00:00,1,1
144,2021-01-08,05:00:00,3,3
145,2021-01-08,06:00:00,53,53
146,2021-01-08,07:00:00,644,635
147,2021-01-08,08:00:00,812,803
148,2021-01-08,09:00:00,849,842
149,2021-01-08,10:00:00,850,841
150,2021-01-08,11:00:00,990,983
151,2021-01-08,12:00:00,1105,1096
152,2021-01-08,13:00:00,1046,1039
153,2021-01-08,14:00:00,1469,1451
154,2021-01-08,15:00:00,1272,1265
155,2021-01-08,16:00:00,1175,1168
156,2021-01-08,17:00:00,1197,1186
157,2021-01-08,18:00:00,1337,1316
158,2021-01-08,19:00:00,1284,1271
159,2021-01-08,20:00:00,653,646
160,2021-01-08,21:00:00,27,26
161,2021-01-08,22:00:00,13,12
162,2021-01-08,23:00:00,20,19
163,2021-01-09,00:00:00,2,2
