,tarih,saat,oyun,doluluk_orani,izleyici_sayisi
131,2019-09-05,13:30,Kuyudaki Aslan,53%,406.5
104,2019-09-12,20:00,Amak-I Hayal,92%,697.0
62,2019-10-05,10:30 ,Kuyudaki Aslan,47%,711.0
132,2019-10-05,13:30,Kuyudaki Aslan,47%,355.5
105,2019-10-12,20:00,Amak-I Hayal,98%,736.0
73,2019-10-14,20:00,Suç ve Ceza,100%,751.0
74,2019-10-15,20:00,Suç ve Ceza,100%,751.0
75,2019-10-21,20:00,Suç ve Ceza,100%,751.0
76,2019-10-22,20:00,Suç ve Ceza,100%,751.0
77,2019-10-24,10:30 ,Küçük Kara Balık ,100%,1502.0
140,2019-10-24,13:30,Küçük Kara Balık ,100%,751.0
141,2019-10-25,13:30,Küçük Kara Balık ,100%,750.5
78,2019-10-25,10:30 ,Küçük Kara Balık ,100%,1501.0
79,2019-10-28,20:00,Cimri,100%,751.0
80,2019-10-29,20:00,Cimri,100%,751.0
81,2019-10-31,10:30 ,Küçük Kara Balık ,100%,1502.0
142,2019-10-31,13:30,Küçük Kara Balık ,100%,751.0
16,2019-11-02,20:00,Cimri,95%,719.0
30,2019-11-03,20:00,Cimri,100%,751.0
48,2019-11-04,10:30 ,Kuyudaki Aslan,100%,1502.0
125,2019-11-04, 13:30,Kuyudaki Aslan,100%,751.0
71,2019-11-10,20:00,Reis Bey,100%,754.0
87,2019-11-11,20:00,Suç ve Ceza,100%,751.0
146,2019-11-14,13:30,Küçük Kara Balık ,98%,742.5
89,2019-11-14,10:30 ,Küçük Kara Balık ,98%,1485.0
147,2019-11-15,13:30,Küçük Kara Balık ,91%,702.5
90,2019-11-15,10:30 ,Küçük Kara Balık ,91%,1405.0
91,2019-11-18,20:00,Suç ve Ceza,100%,751.0
92,2019-11-19,20:00,Suç ve Ceza,100%,751.0
93,2019-11-21,10:30 ,Küçük Kara Balık ,60%,925.0
148,2019-11-21,13:30,Küçük Kara Balık ,60%,462.5
94,2019-11-22,10:30 ,Küçük Kara Balık ,80%,1208.0
149,2019-11-22,13:30,Küçük Kara Balık ,80%,604.0
95,2019-11-25,20:00,Amak-I Hayal,100%,751.0
96,2019-11-26,20:00,Amak-I Hayal,100%,751.0
97,2019-11-28,10:30 ,Küçük Kara Balık ,99%,1493.0
150,2019-11-28,13:30,Küçük Kara Balık ,99%,746.5
98,2019-11-29,10:30 ,Küçük Kara Balık ,97%,1455.0
151,2019-11-29,13:30,Küçük Kara Balık ,97%,727.5
17,2019-12-02,20:00,Cimri,100%,752.0
31,2019-12-03,20:00,Cimri,100%,751.0
139,2019-12-10,20:00,Reis Bey,99%,749.5
72,2019-12-10,15:00 ,Reis Bey,99%,1499.0
88,2019-12-11,20:00,Suç ve Ceza,100%,751.0
154,2019-12-12,13:30,Kuyudaki Aslan,83%,624.0
106,2019-12-12,10:30 ,Kuyudaki Aslan,83%,1248.0
107,2019-12-13,10:30 ,Kuyudaki Aslan,78%,1224.0
155,2019-12-13,13:30,Kuyudaki Aslan,78%,612.0
156,2019-12-19,13:30,Kuyudaki Aslan,100%,751.0
108,2019-12-19,10:30 ,Kuyudaki Aslan,100%,1502.0
109,2019-12-20,10:30 ,Kuyudaki Aslan,99%,1492.0
157,2019-12-20,13:30,Kuyudaki Aslan,99%,746.0
110,2019-12-23,20:00,Cimri,100%,751.0
111,2019-12-24,20:00,Cimri,100%,751.0
112,2019-12-26,10:30 ,Küçük Kara Balık ,98%,1478.0
158,2019-12-26,13:30,Küçük Kara Balık ,98%,739.0
159,2019-12-27,13:30,Küçük Kara Balık ,95%,771.0
113,2019-12-27,10:30 ,Küçük Kara Balık ,95%,1542.0
114,2019-12-30,20:00,Cimri,100%,751.0
115,2019-12-31,20:00,Cimri,100%,751.0
