yil,ay,ruhsat_sayisi
2010,ocak,141
2010,subat,145
2010,mart,595
2010,nisan,522
2010,mayis,608
2010,haziran,559
2010,temmuz,403
2010,agustos,384
2010,eylul,291
2010,ekim,318
2010,kasim,375
2010,aralik,131
