yil,ay,ruhsat_sayisi
2012,ocak,51
2012,subat,38
2012,mart,214
2012,nisan,672
2012,mayis,591
2012,haziran,508
2012,temmuz,428
2012,agustos,227
2012,eylul,433
2012,ekim,536
2012,kasim,437
2012,aralik,94
