yil,ay,ruhsat_sayisi
2009,ocak,285
2009,subat,411
2009,mart,361
2009,nisan,842
2009,mayis,649
2009,haziran,602
2009,temmuz,531
2009,agustos,558
2009,eylul,130
2009,ekim,476
2009,kasim,263
2009,aralik,85
