yil,ay,ruhsat_sayisi
2011,ocak,122
2011,subat,178
2011,mart,496
2011,nisan,508
2011,mayis,549
2011,haziran,509
2011,temmuz,361
2011,agustos,437
2011,eylul,225
2011,ekim,443
2011,kasim,660
2011,aralik,97
