_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
1,2021-01-01T00:00:00,1,1,1
2,2021-01-01T00:00:00,4,1,1
3,2021-01-01T00:00:00,7,27,27
4,2021-01-01T00:00:00,8,19,19
5,2021-01-01T00:00:00,9,24,23
6,2021-01-01T00:00:00,10,51,50
7,2021-01-01T00:00:00,11,56,56
8,2021-01-01T00:00:00,12,38,38
9,2021-01-01T00:00:00,13,132,128
10,2021-01-01T00:00:00,14,122,117
11,2021-01-01T00:00:00,15,127,124
12,2021-01-01T00:00:00,16,145,139
13,2021-01-01T00:00:00,17,51,51
14,2021-01-01T00:00:00,18,33,33
15,2021-01-01T00:00:00,19,16,15
16,2021-01-01T00:00:00,20,12,11
17,2021-01-01T00:00:00,21,7,7
18,2021-01-01T00:00:00,22,3,3
19,2021-01-01T00:00:00,23,7,7
20,2021-01-02T00:00:00,0,1,1
21,2021-01-02T00:00:00,6,5,5
22,2021-01-02T00:00:00,7,22,21
23,2021-01-02T00:00:00,8,31,31
24,2021-01-02T00:00:00,9,19,19
25,2021-01-02T00:00:00,10,57,55
26,2021-01-02T00:00:00,11,63,63
27,2021-01-02T00:00:00,12,113,112
28,2021-01-02T00:00:00,13,144,141
29,2021-01-02T00:00:00,14,186,183
30,2021-01-02T00:00:00,15,166,165
31,2021-01-02T00:00:00,16,208,205
32,2021-01-02T00:00:00,17,67,66
33,2021-01-02T00:00:00,18,50,39
34,2021-01-02T00:00:00,19,29,23
35,2021-01-02T00:00:00,20,8,7
36,2021-01-02T00:00:00,21,6,5
37,2021-01-02T00:00:00,22,3,3
38,2021-01-02T00:00:00,23,1,1
39,2021-01-03T00:00:00,3,1,1
40,2021-01-03T00:00:00,4,1,1
41,2021-01-03T00:00:00,5,1,1
42,2021-01-03T00:00:00,6,2,2
43,2021-01-03T00:00:00,7,3,3
44,2021-01-03T00:00:00,8,17,8
45,2021-01-03T00:00:00,9,11,11
46,2021-01-03T00:00:00,10,61,60
47,2021-01-03T00:00:00,11,82,82
48,2021-01-03T00:00:00,12,117,109
49,2021-01-03T00:00:00,13,170,170
50,2021-01-03T00:00:00,14,242,239
51,2021-01-03T00:00:00,15,273,269
52,2021-01-03T00:00:00,16,270,268
53,2021-01-03T00:00:00,17,78,71
54,2021-01-03T00:00:00,18,31,31
55,2021-01-03T00:00:00,19,18,18
56,2021-01-03T00:00:00,20,11,11
57,2021-01-03T00:00:00,21,18,18
58,2021-01-03T00:00:00,22,26,26
59,2021-01-03T00:00:00,23,21,20
60,2021-01-04T00:00:00,0,2,2
61,2021-01-04T00:00:00,4,2,2
62,2021-01-04T00:00:00,5,3,3
63,2021-01-04T00:00:00,6,90,90
64,2021-01-04T00:00:00,7,1214,1204
65,2021-01-04T00:00:00,8,1217,1207
66,2021-01-04T00:00:00,9,1065,1057
67,2021-01-04T00:00:00,10,1003,996
68,2021-01-04T00:00:00,11,1186,1174
69,2021-01-04T00:00:00,12,1394,1376
70,2021-01-04T00:00:00,13,1323,1307
71,2021-01-04T00:00:00,14,1391,1377
72,2021-01-04T00:00:00,15,1162,1152
73,2021-01-04T00:00:00,16,1312,1300
74,2021-01-04T00:00:00,17,1339,1319
75,2021-01-04T00:00:00,18,1737,1717
76,2021-01-04T00:00:00,19,1466,1453
77,2021-01-04T00:00:00,20,621,614
78,2021-01-04T00:00:00,21,44,43
79,2021-01-04T00:00:00,22,33,33
80,2021-01-04T00:00:00,23,24,21
81,2021-01-05T00:00:00,0,1,1
82,2021-01-05T00:00:00,3,1,1
83,2021-01-05T00:00:00,4,1,1
84,2021-01-05T00:00:00,5,3,3
85,2021-01-05T00:00:00,6,81,81
86,2021-01-05T00:00:00,7,725,719
87,2021-01-05T00:00:00,8,939,932
88,2021-01-05T00:00:00,9,870,861
89,2021-01-05T00:00:00,10,903,894
90,2021-01-05T00:00:00,11,982,966
91,2021-01-05T00:00:00,12,1181,1163
92,2021-01-05T00:00:00,13,1241,1226
93,2021-01-05T00:00:00,14,1243,1231
94,2021-01-05T00:00:00,15,1077,1067
95,2021-01-05T00:00:00,16,1093,1077
96,2021-01-05T00:00:00,17,1006,998
97,2021-01-05T00:00:00,18,1299,1284
98,2021-01-05T00:00:00,19,1261,1247
99,2021-01-05T00:00:00,20,566,560
100,2021-01-05T00:00:00,21,35,35
101,2021-01-05T00:00:00,22,14,14
102,2021-01-05T00:00:00,23,15,15
103,2021-01-06T00:00:00,5,1,1
104,2021-01-06T00:00:00,6,87,86
105,2021-01-06T00:00:00,7,739,736
106,2021-01-06T00:00:00,8,918,910
107,2021-01-06T00:00:00,9,818,812
108,2021-01-06T00:00:00,10,875,868
109,2021-01-06T00:00:00,11,1044,1027
110,2021-01-06T00:00:00,12,1138,1121
111,2021-01-06T00:00:00,13,1179,1168
112,2021-01-06T00:00:00,14,1122,1108
113,2021-01-06T00:00:00,15,1084,1065
114,2021-01-06T00:00:00,16,1074,1063
115,2021-01-06T00:00:00,17,1152,1134
116,2021-01-06T00:00:00,18,1377,1359
117,2021-01-06T00:00:00,19,1252,1240
118,2021-01-06T00:00:00,20,544,531
119,2021-01-06T00:00:00,21,23,23
120,2021-01-06T00:00:00,22,17,17
121,2021-01-06T00:00:00,23,17,17
122,2021-01-07T00:00:00,1,1,1
123,2021-01-07T00:00:00,5,1,1
124,2021-01-07T00:00:00,6,84,84
125,2021-01-07T00:00:00,7,575,571
126,2021-01-07T00:00:00,8,510,507
127,2021-01-07T00:00:00,9,598,591
128,2021-01-07T00:00:00,10,901,886
129,2021-01-07T00:00:00,11,1017,1007
130,2021-01-07T00:00:00,12,1196,1182
131,2021-01-07T00:00:00,13,1242,1225
132,2021-01-07T00:00:00,14,1105,1093
133,2021-01-07T00:00:00,15,1131,1118
134,2021-01-07T00:00:00,16,1148,1130
135,2021-01-07T00:00:00,17,1139,1126
136,2021-01-07T00:00:00,18,1377,1365
137,2021-01-07T00:00:00,19,1230,1222
138,2021-01-07T00:00:00,20,526,520
139,2021-01-07T00:00:00,21,43,41
140,2021-01-07T00:00:00,22,25,25
141,2021-01-07T00:00:00,23,16,16
142,2021-01-08T00:00:00,0,1,1
143,2021-01-08T00:00:00,3,1,1
144,2021-01-08T00:00:00,5,3,3
145,2021-01-08T00:00:00,6,53,53
146,2021-01-08T00:00:00,7,625,616
147,2021-01-08T00:00:00,8,803,794
148,2021-01-08T00:00:00,9,842,835
149,2021-01-08T00:00:00,10,842,833
150,2021-01-08T00:00:00,11,982,975
151,2021-01-08T00:00:00,12,1103,1094
152,2021-01-08T00:00:00,13,1041,1034
153,2021-01-08T00:00:00,14,1463,1446
154,2021-01-08T00:00:00,15,1270,1263
155,2021-01-08T00:00:00,16,1167,1160
156,2021-01-08T00:00:00,17,1190,1180
157,2021-01-08T00:00:00,18,1316,1295
158,2021-01-08T00:00:00,19,1266,1253
159,2021-01-08T00:00:00,20,647,640
160,2021-01-08T00:00:00,21,27,26
161,2021-01-08T00:00:00,22,13,12
162,2021-01-08T00:00:00,23,19,18
163,2021-01-09T00:00:00,0,2,2
164,2021-01-09T00:00:00,6,4,4
165,2021-01-09T00:00:00,7,35,34
166,2021-01-09T00:00:00,8,27,25
167,2021-01-09T00:00:00,9,21,21
168,2021-01-09T00:00:00,10,57,55
169,2021-01-09T00:00:00,11,75,73
170,2021-01-09T00:00:00,12,104,102
171,2021-01-09T00:00:00,13,186,181
172,2021-01-09T00:00:00,14,207,201
173,2021-01-09T00:00:00,15,170,166
174,2021-01-09T00:00:00,16,221,220
175,2021-01-09T00:00:00,17,88,87
176,2021-01-09T00:00:00,18,50,50
177,2021-01-09T00:00:00,19,20,20
178,2021-01-09T00:00:00,20,10,9
179,2021-01-09T00:00:00,21,3,3
180,2021-01-09T00:00:00,22,5,5
181,2021-01-09T00:00:00,23,3,3
182,2021-01-10T00:00:00,0,1,1
183,2021-01-10T00:00:00,3,2,2
184,2021-01-10T00:00:00,6,1,1
185,2021-01-10T00:00:00,7,6,6
186,2021-01-10T00:00:00,8,6,6
187,2021-01-10T00:00:00,9,15,15
188,2021-01-10T00:00:00,10,67,66
189,2021-01-10T00:00:00,11,109,107
190,2021-01-10T00:00:00,12,150,149
191,2021-01-10T00:00:00,13,239,237
192,2021-01-10T00:00:00,14,269,268
193,2021-01-10T00:00:00,15,269,266
194,2021-01-10T00:00:00,16,277,273
195,2021-01-10T00:00:00,17,73,70
196,2021-01-10T00:00:00,18,28,28
197,2021-01-10T00:00:00,19,17,17
198,2021-01-10T00:00:00,20,18,18
199,2021-01-10T00:00:00,21,10,10
200,2021-01-10T00:00:00,22,22,22
201,2021-01-10T00:00:00,23,7,7
202,2021-01-11T00:00:00,4,2,2
203,2021-01-11T00:00:00,5,2,2
204,2021-01-11T00:00:00,6,123,121
205,2021-01-11T00:00:00,7,1219,1206
206,2021-01-11T00:00:00,8,1270,1262
207,2021-01-11T00:00:00,9,1099,1090
208,2021-01-11T00:00:00,10,1118,1103
209,2021-01-11T00:00:00,11,1269,1257
210,2021-01-11T00:00:00,12,1569,1542
211,2021-01-11T00:00:00,13,1575,1551
212,2021-01-11T00:00:00,14,1353,1338
