_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
126,2020-01-06T00:00:00,9,2639,2612
127,2020-01-06T00:00:00,10,2445,2428
128,2020-01-06T00:00:00,11,2907,2874
129,2020-01-06T00:00:00,12,3396,3359
130,2020-01-06T00:00:00,13,3082,3046
131,2020-01-06T00:00:00,14,2787,2747
132,2020-01-06T00:00:00,15,3713,3680
133,2020-01-06T00:00:00,16,3514,3473
134,2020-01-06T00:00:00,17,3065,3033
135,2020-01-06T00:00:00,18,2641,2616
136,2020-01-06T00:00:00,19,2086,2061
137,2020-01-06T00:00:00,20,1333,1320
138,2020-01-06T00:00:00,21,844,833
139,2020-01-06T00:00:00,22,608,596
140,2020-01-06T00:00:00,23,290,289
141,2020-01-07T00:00:00,0,59,59
142,2020-01-07T00:00:00,1,23,23
143,2020-01-07T00:00:00,2,4,4
144,2020-01-07T00:00:00,3,4,4
145,2020-01-07T00:00:00,4,2,2
146,2020-01-07T00:00:00,5,7,7
147,2020-01-07T00:00:00,6,122,121
148,2020-01-07T00:00:00,7,2257,2245
149,2020-01-07T00:00:00,8,2825,2806
150,2020-01-07T00:00:00,9,2091,2073
151,2020-01-07T00:00:00,10,2093,2079
152,2020-01-07T00:00:00,11,2387,2353
153,2020-01-07T00:00:00,12,3086,3055
154,2020-01-07T00:00:00,13,2860,2835
155,2020-01-07T00:00:00,14,2673,2644
156,2020-01-07T00:00:00,15,3542,3509
157,2020-01-07T00:00:00,16,3505,3472
158,2020-01-07T00:00:00,17,2924,2886
159,2020-01-07T00:00:00,18,2531,2500
160,2020-01-07T00:00:00,19,2090,2069
161,2020-01-07T00:00:00,20,1352,1332
162,2020-01-07T00:00:00,21,892,881
163,2020-01-07T00:00:00,22,642,638
164,2020-01-07T00:00:00,23,298,297
165,2020-01-08T00:00:00,0,75,73
166,2020-01-08T00:00:00,1,11,11
167,2020-01-08T00:00:00,2,8,8
168,2020-01-08T00:00:00,3,5,5
169,2020-01-08T00:00:00,4,5,5
170,2020-01-08T00:00:00,5,2,2
171,2020-01-08T00:00:00,6,149,149
172,2020-01-08T00:00:00,7,2460,2445
173,2020-01-08T00:00:00,8,2945,2925
174,2020-01-08T00:00:00,9,2050,2031
175,2020-01-08T00:00:00,10,2085,2060
176,2020-01-08T00:00:00,11,2496,2471
177,2020-01-08T00:00:00,12,3117,3092
178,2020-01-08T00:00:00,13,2887,2868
179,2020-01-08T00:00:00,14,2707,2680
180,2020-01-08T00:00:00,15,3361,3325
181,2020-01-08T00:00:00,16,3335,3294
182,2020-01-08T00:00:00,17,2853,2817
183,2020-01-08T00:00:00,18,2510,2473
184,2020-01-08T00:00:00,19,2051,2025
185,2020-01-08T00:00:00,20,1410,1385
186,2020-01-08T00:00:00,21,881,865
187,2020-01-08T00:00:00,22,663,652
188,2020-01-08T00:00:00,23,286,282
189,2020-01-09T00:00:00,0,27,27
190,2020-01-09T00:00:00,1,13,13
191,2020-01-09T00:00:00,2,2,2
192,2020-01-09T00:00:00,5,2,2
193,2020-01-09T00:00:00,6,17,17
194,2020-01-09T00:00:00,7,1647,1641
195,2020-01-09T00:00:00,8,2882,2849
196,2020-01-09T00:00:00,9,1947,1929
197,2020-01-09T00:00:00,10,2017,1991
198,2020-01-09T00:00:00,11,2414,2390
199,2020-01-09T00:00:00,12,2882,2848
200,2020-01-09T00:00:00,13,2684,2655
201,2020-01-09T00:00:00,14,2454,2433
202,2020-01-09T00:00:00,15,3436,3408
203,2020-01-09T00:00:00,16,3455,3419
