_id,Ilce,mahalle,mahalle_turu
109,BEYÞEHIR,BAYAVÞAR,MAHALLE
110,BEYÞEHIR,BEYTEPE,MAHALLE
111,BEYÞEHIR,DALYAN,MAHALLE
112,BEYÞEHIR,DOÐANBEY,MAHALLE
113,BEYÞEHIR,EMEN,MAHALLE
114,BEYÞEHIR,ESENCE,MAHALLE
115,BEYÞEHIR,ESENTEPE,MAHALLE
116,BEYÞEHIR,EVSAT,MAHALLE
117,BEYÞEHIR,GÖKÇIMEN,MAHALLE
118,BEYÞEHIR,GÖLYAKA,MAHALLE
119,BEYÞEHIR,HACIAKIF,MAHALLE
120,BEYÞEHIR,HACIARMAÐAN,MAHALLE
121,BEYÞEHIR,HAMIDIYE,MAHALLE
122,BEYÞEHIR,HUÐLU,MAHALLE
123,BEYÞEHIR,IÇERIÞEHIR,MAHALLE
124,BEYÞEHIR,KARAALI,MAHALLE
125,BEYÞEHIR,KAYABAÞI,MAHALLE
126,BEYÞEHIR,KURUCUOVA,MAHALLE
127,BEYÞEHIR,MÜFTÜ,MAHALLE
128,BEYÞEHIR,SADIKHACI,MAHALLE
129,BEYÞEHIR,SEVINDIK,MAHALLE
130,BEYÞEHIR,ÜSTÜNLER,MAHALLE
131,BEYÞEHIR,ÜZÜMLÜ,MAHALLE
132,BEYÞEHIR,YENI,MAHALLE
133,BEYÞEHIR,YENIDOÐAN,MAHALLE
134,BEYÞEHIR,YEÞILDAÐ,MAHALLE
135,BEYÞEHIR,AÐILÖNÜ,KIRSALMAHALLE                   
136,BEYÞEHIR,AKBURUN,KIRSALMAHALLE                   
137,BEYÞEHIR,AVDANCIK,KIRSALMAHALLE                   
138,BEYÞEHIR,BADEMLI,KIRSALMAHALLE                   
139,BEYÞEHIR,BAÞGÖZE,KIRSALMAHALLE                   
140,BEYÞEHIR,BAYAT,KIRSALMAHALLE                   
141,BEYÞEHIR,BAYINDIR,KIRSALMAHALLE                   
142,BEYÞEHIR,BEKDEMIR,KIRSALMAHALLE                   
143,BEYÞEHIR,ÇIÇEKLER,KIRSALMAHALLE                   
144,BEYÞEHIR,ÇIFTLIK,KIRSALMAHALLE                   
145,BEYÞEHIR,ÇIVRIL,KIRSALMAHALLE                   
146,BEYÞEHIR,ÇUKURAÐIL,KIRSALMAHALLE                   
147,BEYÞEHIR,DAMLAPINAR,KIRSALMAHALLE                   
148,BEYÞEHIR,DOÐANCIK,KIRSALMAHALLE                   
149,BEYÞEHIR,DUMANLI,KIRSALMAHALLE                   
150,BEYÞEHIR,EÐIRLER,KIRSALMAHALLE                   
151,BEYÞEHIR,EYLIKLER,KIRSALMAHALLE                   
152,BEYÞEHIR,FASILLAR,KIRSALMAHALLE                   
153,BEYÞEHIR,GÖÇÜ,KIRSALMAHALLE                   
154,BEYÞEHIR,GÖKÇEKUYU,KIRSALMAHALLE                   
155,BEYÞEHIR,GÖLKAÞI,KIRSALMAHALLE                   
156,BEYÞEHIR,GÖNEN,KIRSALMAHALLE                   
157,BEYÞEHIR,GÜNDOÐDU,KIRSALMAHALLE                   
158,BEYÞEHIR,HÜSEYINLER,KIRSALMAHALLE                   
159,BEYÞEHIR,ISAKÖY,KIRSALMAHALLE                   
160,BEYÞEHIR,KARABAYAT,KIRSALMAHALLE                   
161,BEYÞEHIR,KARADIKEN,KIRSALMAHALLE                   
162,BEYÞEHIR,KARAHISAR,KIRSALMAHALLE                   
163,BEYÞEHIR,KUÞLUCA,KIRSALMAHALLE                   
164,BEYÞEHIR,KÜÇÜKAVÞAR,KIRSALMAHALLE                   
165,BEYÞEHIR,MESUTLAR,KIRSALMAHALLE                   
166,BEYÞEHIR,SARIKÖY,KIRSALMAHALLE                   
167,BEYÞEHIR,ÞAMLAR,KIRSALMAHALLE                   
168,BEYÞEHIR,ÜÇPINAR,KIRSALMAHALLE                   
169,BEYÞEHIR,YAZYURDU,KIRSALMAHALLE                   
170,BEYÞEHIR,YUKARIESENCE,KIRSALMAHALLE                   
171,BEYÞEHIR,YUNUSLAR,KIRSALMAHALLE                   
172,BOZKIR,CUMHURIYET,MAHALLE
173,BOZKIR,ÇAÐLAYAN,MAHALLE
174,BOZKIR,DEMIRASAF,MAHALLE
175,BOZKIR,DEREIÇI,MAHALLE
176,BOZKIR,DEREKÖY,MAHALLE
177,BOZKIR,HAMZALAR,MAHALLE
178,BOZKIR,HARMANPINAR,MAHALLE
179,BOZKIR,HISARLIK,MAHALLE
180,BOZKIR,KUZÖREN,MAHALLE
181,BOZKIR,SARIOÐLAN,MAHALLE
182,BOZKIR,SORKUN,MAHALLE
183,BOZKIR,SÖÐÜT,MAHALLE
184,BOZKIR,ÜÇPINAR,MAHALLE
185,BOZKIR,YUKARI,MAHALLE
186,BOZKIR,AKÇAPINAR,KIRSALMAHALLE                   
187,BOZKIR,ARMUTLU,KIRSALMAHALLE                   
188,BOZKIR,ARSLANTAÞ,KIRSALMAHALLE                   
189,BOZKIR,AYDINKIÞLA,KIRSALMAHALLE                   
190,BOZKIR,AYVALCA,KIRSALMAHALLE                   
191,BOZKIR,BAÐYURDU,KIRSALMAHALLE                   
192,BOZKIR,BAYBAÐAN,KIRSALMAHALLE                   
193,BOZKIR,BOZDAM,KIRSALMAHALLE                   
194,BOZKIR,ELMAAÐAÇ,KIRSALMAHALLE                   
195,BOZKIR,HACILAR,KIRSALMAHALLE                   
196,BOZKIR,HACIYUNUSLAR,KIRSALMAHALLE                   
197,BOZKIR,IÞIKLAR,KIRSALMAHALLE                   
198,BOZKIR,KARABAYIR,KIRSALMAHALLE                   
199,BOZKIR,KARACAARDIÇ,KIRSALMAHALLE                   
200,BOZKIR,KARACAHISAR,KIRSALMAHALLE                   
201,BOZKIR,KARAYAHYA,KIRSALMAHALLE                   
202,BOZKIR,KAYACILAR,KIRSALMAHALLE                   
203,BOZKIR,KAYAPINAR,KIRSALMAHALLE                   
204,BOZKIR,KINIK,KIRSALMAHALLE                   
