_id,tarih,pm10_(_µg/m3_),so2_(_µg/m3_),co_(_µg/m3_),no2_(_µg/m3_),nox_(_µg/m3_)
762,2021-01-02T17:00:56,"26,03","5,27","546,35","35,67","37,89"
763,2021-01-02T18:00:56,"31,84","6,86","892,00","67,73","78,78"
764,2021-01-02T19:00:56,"67,07","8,48","811,70","54,73","66,06"
765,2021-01-02T20:00:56,"56,31","8,69","1.238,26","51,18","60,48"
766,2021-01-02T21:00:56,"72,56","9,23","7.623,02","34,14","36,27"
767,2021-01-02T22:00:56,"42,80","7,55","997,53","24,28","25,66"
768,2021-01-02T23:00:56,"32,26","7,17","82,60","29,13","30,09"
769,2021-02-02T00:00:56,"43,68","9,21","58,68","24,48","26,33"
770,2021-02-02T01:00:56,"47,84","9,85","307,19","41,48","44,45"
771,2021-02-02T02:00:56,"66,51","10,66","453,73","38,69","40,08"
772,2021-02-02T03:00:56,"46,54","10,44","375,13","44,54","48,08"
773,2021-02-02T04:00:56,"45,03","10,56","769,08","43,53","46,56"
774,2021-02-02T05:00:56,"40,13","9,68","327,97","32,13","34,32"
775,2021-02-02T06:00:56,"42,92","10,81","158,58","29,57","31,93"
776,2021-02-02T07:00:56,"27,41","9,34","653,99","76,52","113,75"
777,2021-02-02T08:00:56,"64,02","14,06","1.913,33","183,11","279,56"
778,2021-02-02T09:00:56,"147,80","23,05","1.647,79","151,29","244,11"
779,2021-02-02T10:00:56,"142,21","22,92","496,05","72,43","95,81"
780,2021-02-02T11:00:56,"66,99","15,55","450,52","50,75","62,27"
781,2021-02-02T12:00:56,"61,10","10,07","683,53","40,13","44,86"
782,2021-02-02T13:00:56,"41,52","8,04","613,98","32,37","35,48"
783,2021-02-02T14:00:56,"26,39","7,49","127,18","32,26","35,54"
784,2021-02-02T15:00:56,"40,61","5,23","42,05","41,56","47,84"
785,2021-02-02T16:00:56,"53,66","6,76","378,08","52,07","63,25"
786,2021-02-02T17:00:56,"68,61","8,65","47.632,66","71,77","103,19"
787,2021-02-02T18:00:56,"149,85","12,88","1.023,03","96,72","200,47"
788,2021-02-02T19:00:56,"184,15","18,13","1.771,91","124,83","230,68"
789,2021-02-02T20:00:56,"179,16","23,39","3.438,95","78,72","215,62"
790,2021-02-02T21:00:56,"181,92","24,65","2.089,06","135,50","208,21"
791,2021-02-02T22:00:56,"171,28","23,78","2.432,26","109,87","263,52"
792,2021-02-02T23:00:56,"266,47","34,79","3.774,00","93,25","295,01"
793,2021-03-02T00:00:56,"274,84","35,27","3.138,32","72,61","194,53"
794,2021-03-02T01:00:56,"197,29","32,01","3.307,68","85,07","229,77"
795,2021-03-02T02:00:56,"236,86","35,77","3.032,32","106,66","271,42"
796,2021-03-02T03:00:56,"420,16","33,05","2.841,25","83,54","259,27"
797,2021-03-02T04:00:56,"316,87","34,22","3.547,37","66,43","258,66"
798,2021-03-02T05:00:56,"269,19","29,89","2.903,85","99,59","208,42"
799,2021-03-02T06:00:56,"207,60","28,95","3.022,42","78,39","183,28"
800,2021-03-02T07:00:56,"155,34","24,69","2.574,97","115,16","274,02"
801,2021-03-02T08:00:56,"198,81","33,36","4.372,28","171,71","442,45"
802,2021-03-02T09:00:56,"283,78","39,22","4.336,79","119,36","393,90"
803,2021-03-02T10:00:56,"249,96","41,29","4.312,30","134,71","451,00"
804,2021-03-02T11:00:56,"613,33","53,52","3.698,98","123,90","311,77"
805,2021-03-02T12:00:56,"527,53","41,40","2.066,39","93,55","166,91"
806,2021-03-02T13:00:56,"285,36","24,86","779,14","57,03","77,64"
807,2021-03-02T14:00:56,"95,86","17,36","344,20","45,87","55,79"
808,2021-03-02T15:00:56,"67,62","11,78","227,24","43,20","47,94"
809,2021-03-02T16:00:56,"69,92","12,78","849,61","38,96","41,32"
810,2021-03-02T17:00:56,"70,97","12,40","399,45","48,07","51,26"
811,2021-03-02T18:00:56,"79,77","12,10","910,80","74,98","124,00"
812,2021-03-02T19:00:56,"160,85","19,01","3.559,67","109,88","327,66"
813,2021-03-02T20:00:56,"288,66","27,70","2.208,82","91,23","222,32"
814,2021-03-02T21:00:56,"183,87","28,43","2.014,28","100,44","226,94"
815,2021-03-02T22:00:56,"218,02","23,83","2.081,46","80,22","154,61"
816,2021-03-02T23:00:56,"177,11","19,49","2.271,84","80,73","143,63"
817,2021-04-02T00:00:56,"195,47","18,42","2.536,28","70,78","121,75"
818,2021-04-02T01:00:56,"167,22","22,13","2.319,27","66,37","109,62"
819,2021-04-02T02:00:56,"145,54","13,80","1.593,88","51,69","62,99"
820,2021-04-02T03:00:56,"100,19","11,15","1.986,32","59,42","73,04"
821,2021-04-02T04:00:56,"104,84","9,98","2.135,17","61,18","90,87"
822,2021-04-02T05:00:56,"109,87","11,47","2.219,57","48,48","81,34"
823,2021-04-02T06:00:56,"91,49","8,97","2.438,48","73,83","127,53"
824,2021-04-02T07:00:56,"109,51","13,66","2.717,90","71,10","191,83"
825,2021-04-02T08:00:56,"117,79","15,94","4.492,45","61,88","251,49"
826,2021-04-02T09:00:56,"136,51","15,58","1.897,37","75,27","164,58"
827,2021-04-02T10:00:56,"189,60","28,73","6.335,07","93,92","262,15"
828,2021-04-02T11:00:56,"487,14","23,53","2.301,28","81,37","133,91"
829,2021-04-02T12:00:56,"243,67","13,15","2.243,21","82,68","108,82"
830,2021-04-02T13:00:56,"213,62","8,12","1.314,47","72,10","94,20"
831,2021-04-02T14:00:56,"166,24","3,80","433,93","51,64","60,00"
832,2021-04-02T15:00:56,"114,34","4,16","261,28","39,94","42,66"
833,2021-04-02T16:00:56,"89,62","1,75","524,13","28,92","30,45"
834,2021-04-02T17:00:56,"67,57","0,87","372,06","30,93","32,09"
835,2021-04-02T18:00:56,"69,92","2,74","1.006,29","94,53","169,46"
836,2021-04-02T19:00:56,"241,45","8,06","1.965,17","132,72","265,52"
837,2021-04-02T20:00:56,"249,90","12,47","1.587,18","80,60","159,01"
838,2021-04-02T21:00:56,"185,71","13,98","3.229,38","111,97","169,51"
839,2021-04-02T22:00:56,"165,49","16,99","1.086,35","57,54","82,88"
840,2021-04-02T23:00:56,"135,78","18,34","2.687,54","70,32","113,28"
841,2021-05-02T00:00:56,"154,48","21,76","2.380,96","84,84","145,38"
842,2021-05-02T01:00:56,"182,82","24,67","4.174,51","113,37","224,16"
843,2021-05-02T02:00:56,"237,58","31,53","3.426,01","126,74","260,06"
844,2021-05-02T03:00:56,"241,92","33,43","2.208,54","117,86","244,23"
845,2021-05-02T04:00:56,"298,50","30,58","2.791,32","111,78","175,61"
846,2021-05-02T05:00:56,"240,58","27,05","1.535,89","85,51","134,95"
847,2021-05-02T06:00:56,"173,73","22,58","1.889,95","77,76","116,02"
848,2021-05-02T07:00:56,"107,71","20,26","2.086,50","97,26","184,10"
849,2021-05-02T08:00:56,"152,76","26,23","2.999,20","149,49","309,37"
850,2021-05-02T09:00:56,"206,60","26,02","2.611,22","111,55","246,38"
851,2021-05-02T10:00:56,"243,07","26,49","1.253,43","105,19","161,43"
852,2021-05-02T11:00:56,"250,82","19,03","306,33","45,96","60,21"
853,2021-05-02T12:00:56,"44,48","11,10","536,69","31,61","35,66"
854,2021-05-02T13:00:56,"20,55","9,17","1.155,21","20,93","22,24"
855,2021-05-02T14:00:56,"16,11","7,93","318,39","19,53","20,87"
856,2021-05-02T15:00:56,"17,94","7,67","256,71","19,09","20,77"
857,2021-05-02T16:00:56,"21,89","6,39","1.322,68","19,07","20,17"
858,2021-05-02T17:00:56,"22,00","7,04","1.098,46","31,12","32,74"
859,2021-05-02T18:00:56,"36,57","8,33","153,22","65,08","89,78"
860,2021-05-02T19:00:56,"104,02","11,37","492,37","138,91","194,10"
861,2021-05-02T20:00:56,"148,74","17,67","1.435,70","131,07","256,45"
862,2021-05-02T21:00:56,"198,56","23,66","1.930,34","97,75","145,71"
863,2021-05-02T22:00:56,"126,18","20,60","786,77","72,42","104,73"
864,2021-05-02T23:00:56,"129,83","19,95","2.107,13","69,07","139,60"
865,2021-06-02T00:00:56,"141,66","24,02","2.317,10","80,12","153,44"
866,2021-06-02T01:00:56,"131,48","22,36","1.902,09","69,68","105,77"
867,2021-06-02T02:00:56,"108,66","20,33","1.760,00","52,04","75,23"
868,2021-06-02T03:00:56,"61,38","15,63","1.052,81","50,00","81,28"
869,2021-06-02T04:00:56,"98,85","18,77","1.254,38","100,05","135,65"
870,2021-06-02T05:00:56,"176,73","17,77","1.068,03","71,91","130,58"
871,2021-06-02T06:00:56,"220,76","21,01","1.141,21","71,09","114,60"
872,2021-06-02T07:00:56,"162,75","20,42","1.820,27","77,93","171,68"
873,2021-06-02T08:00:56,"174,60","19,96","1.708,70","78,36","216,69"
874,2021-06-02T09:00:56,"196,37","29,28","1.588,81","68,65","202,17"
875,2021-06-02T10:00:56,"329,09","23,29","2.247,00","72,79","133,34"
876,2021-06-02T11:00:56,"212,56","20,63","437,95","69,16","85,00"
877,2021-06-02T12:00:56,"173,06","12,62","2.018,92","58,97","70,80"
878,2021-06-02T13:00:56,"151,60","10,94","452,32","44,91","49,36"
879,2021-06-02T14:00:56,"120,89","8,57","229,23","43,26","46,15"
880,2021-06-02T15:00:56,"122,91","7,30","260,26","43,40","45,80"
881,2021-06-02T16:00:56,"119,11","7,67","535,65","35,52","37,09"
882,2021-06-02T17:00:56,"82,09","7,11","189,14","48,56","50,85"
883,2021-06-02T18:00:56,"95,57","8,05","866,97","97,76","128,31"
884,2021-06-02T19:00:56,"183,41","14,62","2.401,95","124,44","169,78"
885,2021-06-02T20:00:56,"281,18","20,62","2.764,46","136,40","211,55"
886,2021-06-02T21:00:56,"335,48","27,31","2.761,40","140,30","249,39"
887,2021-06-02T22:00:56,"309,80","31,55","5.296,06","135,76","226,67"
888,2021-06-02T23:00:56,"265,29","31,99","3.685,70","113,17","177,45"
889,2021-07-02T00:00:56,"186,30","31,43","3.355,78","140,47","298,59"
890,2021-07-02T01:00:56,"282,46","33,99","5.256,39","123,95","271,55"
891,2021-07-02T02:00:56,"241,35","34,56","3.211,53","144,61","313,12"
892,2021-07-02T03:00:56,"258,45","30,46","4.140,48","94,21","175,58"
893,2021-07-02T04:00:56,"145,36","27,01","1.986,26","86,28","172,36"
894,2021-07-02T05:00:56,"166,28","20,91","2.728,63","85,03","116,13"
895,2021-07-02T06:00:56,"117,47","19,05","1.616,73","75,93","122,81"
896,2021-07-02T07:00:56,"116,00","18,71","1.816,77","75,82","108,91"
897,2021-07-02T08:00:56,"99,49","16,01","1.047,59","66,91","104,96"
898,2021-07-02T09:00:56,"104,83","17,51","1.042,75","68,41","98,42"
899,2021-07-02T10:00:56,"105,00","14,28","1.180,93","64,77","94,41"
900,2021-07-02T11:00:56,"132,20","11,03","1.501,28","52,40","65,49"
901,2021-07-02T12:00:56,"108,72","11,77","223,10","45,54","51,11"
902,2021-07-02T13:00:56,"109,94","12,21","1.437,37","49,32","56,55"
903,2021-07-02T14:00:56,"122,63","11,33","1.262,13","38,24","40,84"
904,2021-07-02T15:00:56,"80,26","8,14","431,33","30,36","32,08"
905,2021-07-02T16:00:56,"57,63","5,84","443,56","32,31","33,66"
906,2021-07-02T17:00:56,"54,09","5,45","1.096,83","29,10","31,56"
907,2021-07-02T18:00:56,"32,63","6,56","303,70","31,89","33,81"
908,2021-07-02T19:00:56,"41,71","9,62","1.305,34","88,17","108,31"
909,2021-07-02T20:00:56,"112,90","16,01","1.668,50","84,67","102,35"
910,2021-07-02T21:00:56,"98,49","16,21","1.442,01","88,36","123,31"
911,2021-07-02T22:00:56,"112,57","21,51","2.622,37","97,08","139,04"
912,2021-07-02T23:00:56,"137,28","24,73","3.741,45","100,96","163,92"
913,2021-08-02T00:00:56,"151,60","30,84","3.498,64","101,40","166,75"
914,2021-08-02T01:00:56,"159,65","30,16","2.438,95","126,00","211,44"
915,2021-08-02T02:00:56,"229,93","26,16","2.818,45","94,15","148,29"
916,2021-08-02T03:00:56,"179,55","22,34","1.899,56","56,04","76,96"
917,2021-08-02T04:00:56,"119,72","16,53","1.345,14","45,55","55,46"
918,2021-08-02T05:00:56,"103,43","12,68","2.915,86","45,68","57,84"
919,2021-08-02T06:00:56,"70,95","12,26","1.346,34","53,55","69,93"
920,2021-08-02T07:00:56,"78,74","14,45","1.025,13","74,06","107,04"
921,2021-08-02T08:00:56,"120,76","15,35","2.733,22","95,48","185,19"
922,2021-08-02T09:00:56,"179,30","20,91","2.057,70","74,27","223,66"
923,2021-08-02T10:00:56,"257,73","26,48","1.953,33","98,03","209,26"
924,2021-08-02T11:00:56,"313,42","29,45","2.459,83","94,92","219,85"
925,2021-08-02T12:00:56,"224,67","34,20","2.714,25","113,08","263,36"
926,2021-08-02T13:00:56,"364,78","30,88","1.426,42","107,42","214,77"
927,2021-08-02T14:00:56,"377,74","26,15","1.610,45","94,81","158,81"
928,2021-08-02T15:00:56,"183,75","25,06","4.076,07","151,36","250,83"
929,2021-08-02T16:00:56,"281,93","26,80","2.047,29","125,37","199,58"
930,2021-08-02T17:00:56,"231,58","22,24","2.229,49","96,28","134,24"
931,2021-08-02T18:00:56,"151,33","18,43","2.056,90","68,84","107,13"
932,2021-08-02T19:00:56,"77,13","18,00","643,96","66,84","96,17"
933,2021-08-02T20:00:56,"72,09","13,93","369,95","48,86","59,82"
934,2021-08-02T21:00:56,"36,06","15,00","668,38","37,45","40,13"
935,2021-08-02T22:00:56,"35,97","17,24","1.562,31","51,00","55,76"
936,2021-08-02T23:00:56,"49,60","18,99","1.144,68","26,96","28,22"
937,2021-09-02T00:00:56,"32,52","14,37","280,70","18,55","19,30"
938,2021-09-02T01:00:56,"34,87","12,63","676,06","19,71","20,62"
939,2021-09-02T02:00:56,"34,03","17,22","787,58","33,60","35,06"
940,2021-09-02T03:00:56,-,-,-,-,-
941,2021-09-02T04:00:56,-,-,-,-,-
942,2021-09-02T05:00:56,-,-,-,-,-
943,2021-09-02T06:00:56,-,-,-,-,-
944,2021-09-02T07:00:56,-,-,-,-,-
945,2021-09-02T08:00:56,-,-,-,-,-
946,2021-09-02T09:00:56,-,-,-,-,-
947,2021-09-02T10:00:56,-,-,-,-,-
948,2021-09-02T11:00:56,"94,00","26,05","190,97",-,-
949,2021-09-02T12:00:56,"83,29","24,81","69,76",-,-
950,2021-09-02T13:00:56,"74,25","24,00","14,89",-,-
951,2021-09-02T14:00:56,"75,95","21,82","287,27","19,86","21,40"
952,2021-09-02T15:00:56,"77,95","20,76","208,13","17,91","19,08"
953,2021-09-02T16:00:56,"50,72","21,30","103,07","19,29","20,44"
954,2021-09-02T17:00:56,"40,26","20,19","113,93","25,82","28,68"
955,2021-09-02T18:00:56,"38,05","21,32","451,64","55,69","66,47"
956,2021-09-02T19:00:56,"53,59","21,93","769,17","51,56","55,86"
957,2021-09-02T20:00:56,"55,95","22,36","990,14","46,95","54,73"
958,2021-09-02T21:00:56,"56,00","24,09","958,82","30,66","32,46"
959,2021-09-02T22:00:56,"52,10","16,10","957,30","28,63","29,64"
960,2021-09-02T23:00:56,"56,87","11,55","527,01","50,63","56,17"
961,2021-10-02T00:00:56,"73,56","12,96","1.018,23","46,72","48,83"
962,2021-10-02T01:00:56,"76,92","17,22","773,86","39,28","40,37"
963,2021-10-02T02:00:56,"79,92","18,75","1.012,59","47,16","49,06"
964,2021-10-02T03:00:56,"92,66","16,92","1.618,20","50,88","54,65"
965,2021-10-02T04:00:56,"79,36","15,87","991,66","40,16","42,94"
966,2021-10-02T05:00:56,"57,57","13,64","1.042,19","35,75","37,53"
967,2021-10-02T06:00:56,"40,44","11,66","1.036,26","52,59","58,90"
968,2021-10-02T07:00:56,"56,56","16,88","1.318,50","80,97","138,12"
969,2021-10-02T08:00:56,"142,72","20,19","2.101,82","114,77","193,59"
970,2021-10-02T09:00:56,"173,25","25,10","1.385,72","103,00","157,97"
971,2021-10-02T10:00:56,"187,64","23,95","1.399,26","80,27","140,16"
972,2021-10-02T11:00:56,"260,09","20,12","897,13","72,89","90,44"
973,2021-10-02T12:00:56,"160,69","12,05","6.158,04","45,61","50,50"
974,2021-10-02T13:00:56,"60,59","10,66","348,90","25,11","26,55"
975,2021-10-02T14:00:56,"48,26","10,25","686,47","18,09","19,48"
976,2021-10-02T15:00:56,"47,03","8,88","1.380,33","14,85","15,98"
977,2021-10-02T16:00:56,"45,05","7,66","966,71","16,05","17,21"
978,2021-10-02T17:00:56,"45,00","9,05","1.066,00","21,61","23,27"
979,2021-10-02T18:00:56,"40,13","7,60","1.601,35","47,23","52,18"
980,2021-10-02T19:00:56,"57,53","10,99","4.319,75","68,60","81,38"
981,2021-10-02T20:00:56,"74,56","11,51","551,98","51,37","55,35"
982,2021-10-02T21:00:56,"61,36","12,24","371,30","56,93","61,28"
983,2021-10-02T22:00:56,"66,84","11,24","1.307,13","50,89","54,51"
984,2021-10-02T23:00:56,"74,79","13,19","1.515,11","55,86","68,67"
985,2021-11-02T00:00:56,"96,43","12,29","875,95","54,83","61,44"
986,2021-11-02T01:00:56,"84,34","12,94","1.599,78","71,02","95,14"
987,2021-11-02T02:00:56,"121,02","16,76","1.252,78","54,69","90,13"
988,2021-11-02T03:00:56,"200,91","17,19","2.007,51","65,39","82,61"
989,2021-11-02T04:00:56,"187,41","17,78","1.638,12","58,81","98,29"
990,2021-11-02T05:00:56,"196,74","19,47","2.187,09","67,63","107,71"
991,2021-11-02T06:00:56,"168,75","15,89","7.606,53","61,75","101,70"
992,2021-11-02T07:00:56,"177,74","16,21","1.222,76","52,18","86,22"
993,2021-11-02T08:00:56,"149,75","18,23","3.041,01","83,75","146,04"
994,2021-11-02T09:00:56,-,-,-,-,-
995,2021-11-02T10:00:56,-,-,-,-,-
996,2021-11-02T11:00:56,-,"41,05",-,"94,01","154,28"
997,2021-11-02T12:00:56,"354,00","21,03","3.810,20","53,08","67,76"
998,2021-11-02T13:00:56,"103,65","6,47","4.905,05","39,63","45,21"
999,2021-11-02T14:00:56,"58,03","5,06","5.064,94","33,10","35,41"
1000,2021-11-02T15:00:56,"36,54","4,73","5.001,16","29,91","32,03"
1001,2021-11-02T16:00:56,"36,97","4,78","4.979,38","29,09","31,09"
1002,2021-11-02T17:00:56,"30,18","4,99","4.944,30","29,57","31,51"
1003,2021-11-02T18:00:56,"41,69","5,47","4.971,02","30,16","32,75"
1004,2021-11-02T19:00:56,"52,72","6,35","4.992,37","34,28","37,46"
1005,2021-11-02T20:00:56,"51,05","7,77","5.435,78","82,96","96,12"
1006,2021-11-02T21:00:56,"99,71","12,36","5.158,26","40,35","41,92"
1007,2021-11-02T22:00:56,"34,76","9,34","5.156,60","29,19","30,06"
1008,2021-11-02T23:00:56,"33,97","9,78","575,98","52,36","56,11"
1009,2021-12-02T00:00:56,"54,46","13,82","842,36","72,95","81,89"
1010,2021-12-02T01:00:56,"69,39","15,79","489,04","41,32","43,06"
1011,2021-12-02T02:00:56,"66,10","18,25","279,39","21,27","22,41"
1012,2021-12-02T03:00:56,"47,49","17,42","166,62","16,62","17,30"
1013,2021-12-02T04:00:56,"39,21","9,47","141,82","13,85","14,57"
1014,2021-12-02T05:00:56,"36,08","10,44","213,14","20,70","21,72"
1015,2021-12-02T06:00:56,"48,66","8,24","211,45","25,60","26,43"
1016,2021-12-02T07:00:56,"45,10","10,30","500,70","71,61","91,60"
1017,2021-12-02T08:00:56,"65,46","15,67","908,91","91,07","141,32"
1018,2021-12-02T09:00:56,"163,41","15,58","498,05","61,63","73,06"
1019,2021-12-02T10:00:56,"104,63","12,83","190,48","32,02","35,19"
1020,2021-12-02T11:00:56,"71,83","12,43","374,19","36,39","41,30"
1021,2021-12-02T12:00:56,"93,41","12,03","270,75","24,39","26,55"
1022,2021-12-02T13:00:56,"49,19","9,71","157,22","13,59","14,98"
1023,2021-12-02T14:00:56,"31,44","9,03","74,97","16,87","18,35"
1024,2021-12-02T15:00:56,"21,26","8,80","62,50","16,21","17,32"
1025,2021-12-02T16:00:56,"18,08","10,13","114,80","16,96","18,30"
1026,2021-12-02T17:00:56,"22,87","9,80","98,56","20,80","22,22"
1027,2021-12-02T18:00:56,"26,90","8,62","166,71","32,83","36,13"
1028,2021-12-02T19:00:56,"29,92","11,32","364,36","51,01","57,75"
1029,2021-12-02T20:00:56,"42,66","13,59","362,50","46,53","52,19"
1030,2021-12-02T21:00:56,"40,08","12,50","305,32","27,01","28,54"
1031,2021-12-02T22:00:56,"32,21","11,63","389,12","29,16","30,57"
1032,2021-12-02T23:00:56,"29,08","10,45","438,54","34,43","36,30"
1033,2021-02-13T00:00:56,"33,87","12,44","429,58","27,19","28,28"
1034,2021-02-13T01:00:56,"24,41","11,29","489,16","32,97","35,34"
1035,2021-02-13T02:00:56,"32,77","12,32","855,99","42,48","46,04"
1036,2021-02-13T03:00:56,"56,38","18,45","571,03","27,04","28,77"
1037,2021-02-13T04:00:56,"35,57","14,70","619,30","21,34","22,63"
1038,2021-02-13T05:00:56,"26,23","14,85","716,80","19,56","20,64"
1039,2021-02-13T06:00:56,"28,92","14,18","674,53","26,96","28,15"
1040,2021-02-13T07:00:56,"33,87","14,49","784,86","56,44","71,94"
1041,2021-02-13T08:00:56,"62,25","18,14","977,64","62,14","83,73"
1042,2021-02-13T09:00:56,"72,74","21,41","1.060,86","69,04","93,82"
1043,2021-02-13T10:00:56,"120,73","19,08","451,63","27,33","30,64"
1044,2021-02-13T11:00:56,"42,12","17,85","376,87","21,15","23,53"
1045,2021-02-13T12:00:56,"43,90","17,45","375,07","19,19","21,03"
1046,2021-02-13T13:00:56,"40,10","20,19","259,94","17,59","19,33"
1047,2021-02-13T14:00:56,"43,90","17,78","226,64","14,03","15,33"
1048,2021-02-13T15:00:56,"33,28","16,14","250,73","14,66","15,90"
1049,2021-02-13T16:00:56,"33,00","15,24","188,58","13,74","14,80"
1050,2021-02-13T17:00:56,"31,05","13,30","251,93","15,99","16,72"
1051,2021-02-13T18:00:56,"31,97","15,19","404,65","35,85","36,95"
1052,2021-02-13T19:00:56,"65,12","18,46","592,06","49,83","52,07"
1053,2021-02-13T20:00:56,"74,77","22,79","993,62","61,00","64,39"
1054,2021-02-13T21:00:56,"92,53","23,77","749,63","53,24","56,61"
1055,2021-02-13T22:00:56,"66,70","12,73","580,21","35,68","36,96"
1056,2021-02-13T23:00:56,"42,62","11,60","393,14","30,95","31,97"
1057,2021-02-14T00:00:56,"29,34","12,06","413,60","23,67","24,64"
1058,2021-02-14T01:00:56,"21,33","12,48","562,14","31,15","32,22"
1059,2021-02-14T02:00:56,"37,56","14,07","652,02","36,51","37,49"
1060,2021-02-14T03:00:56,"47,74","14,74","813,19","46,34","50,20"
1061,2021-02-14T04:00:56,"63,59","14,60","790,24","54,44","59,74"
1062,2021-02-14T05:00:56,"66,92","19,83","1.222,54","55,03","69,37"
1063,2021-02-14T06:00:56,"64,08","16,77","972,23","45,59","49,14"
1064,2021-02-14T07:00:56,"40,62","17,03","1.068,06","53,43","70,82"
1065,2021-02-14T08:00:56,"54,61","21,44","877,71","56,06","83,14"
1066,2021-02-14T09:00:56,"131,96","21,82","893,35","55,85","84,21"
1067,2021-02-14T10:00:56,"126,21","22,43","643,15","46,56","57,99"
1068,2021-02-14T11:00:56,"82,16","23,87","524,63","33,77","37,38"
1069,2021-02-14T12:00:56,"73,21","18,26","252,33","19,09","20,57"
1070,2021-02-14T13:00:56,"42,80","16,75","116,81","14,06","15,32"
1071,2021-02-14T14:00:56,"34,21","14,18","1,40","11,82","12,79"
1072,2021-02-14T15:00:56,"29,13","13,95","14,91","13,37","14,18"
1073,2021-02-14T16:00:56,"25,10","13,86","54,49","17,77","19,02"
1074,2021-02-14T17:00:56,"22,08","13,68","62,38","17,17","18,29"
1075,2021-02-14T18:00:56,"27,84","14,20","206,34","17,78","18,69"
1076,2021-02-14T19:00:56,"31,90","14,23","35,13","14,69","15,67"
1077,2021-02-14T20:00:56,"35,90","14,97","14,76","11,65","12,42"
1078,2021-02-14T21:00:56,"23,34","14,17","63,69","10,78","11,70"
1079,2021-02-14T22:00:56,"18,13","10,26","75,75","12,55","13,38"
1080,2021-02-14T23:00:56,"18,97","6,60","214,92","11,69","12,48"
1081,2021-02-15T00:00:56,"22,90","7,06","310,82","15,68","16,56"
1082,2021-02-15T01:00:56,-,-,-,-,-
1083,2021-02-15T02:00:56,-,-,-,-,-
1084,2021-02-15T03:00:56,-,-,-,-,-
1085,2021-02-15T04:00:56,-,-,-,-,-
1086,2021-02-15T05:00:56,-,-,-,-,-
1087,2021-02-15T06:00:56,-,-,-,-,-
1088,2021-02-15T07:00:56,-,-,-,-,-
1089,2021-02-15T08:00:56,-,-,-,-,-
1090,2021-02-15T09:00:56,-,-,-,-,-
1091,2021-02-15T10:00:56,-,-,-,-,-
1092,2021-02-15T11:00:56,"37,19","2,38",-,"23,87","27,75"
1093,2021-02-15T12:00:56,"30,31","2,48","1.555,67","25,21","27,94"
1094,2021-02-15T13:00:56,"35,74","0,72","2.851,20","34,24","36,86"
1095,2021-02-15T14:00:56,"33,13","1,46","2.641,28","38,86","42,60"
1096,2021-02-15T15:00:56,"34,91","-0,29","1.745,88","31,09","34,12"
1097,2021-02-15T16:00:56,"28,31","-0,19","4.479,30","32,58","35,70"
1098,2021-02-15T17:00:56,"22,26","1,82","5.776,18","39,27","43,00"
1099,2021-02-15T18:00:56,"37,29","0,93","2.939,86","40,10","43,46"
1100,2021-02-15T19:00:56,"32,26","1,45","29.109,01","35,23","37,30"
1101,2021-02-15T20:00:56,"25,31","-2,11","2.857,34","21,97","22,96"
1102,2021-02-15T21:00:56,"22,13","0,05","1.836,75","14,70","15,71"
1103,2021-02-15T22:00:56,"23,91","1,95","1.701,23","12,86","13,46"
1104,2021-02-15T23:00:56,"36,43","3,61","238,76","14,11","14,98"
1105,2021-02-16T00:00:56,"21,71","3,35","475,87","18,14","18,82"
1106,2021-02-16T01:00:56,"22,93","2,76","302,98","13,68","14,41"
1107,2021-02-16T02:00:56,"18,22","3,27","433,96","13,19","13,58"
1108,2021-02-16T03:00:56,"10,35","3,23","342,34","11,59","12,27"
1109,2021-02-16T04:00:56,"16,69","1,59","491,13","11,26","12,13"
1110,2021-02-16T05:00:56,"13,18","0,06","421,41","10,29","11,08"
1111,2021-02-16T06:00:56,"11,09","0,79","654,45","12,11","12,85"
1112,2021-02-16T07:00:56,"11,00","0,73","1.351,09","18,02","19,00"
1113,2021-02-16T08:00:56,"16,74","-0,07","503,92","21,52","23,67"
1114,2021-02-16T09:00:56,"15,09","-0,72","715,56","18,88","21,01"
1115,2021-02-16T10:00:56,"14,04","-0,56","1.079,58","15,90","17,71"
1116,2021-02-16T11:00:56,"21,65","0,02","787,37","14,94","16,65"
1117,2021-02-16T12:00:56,"22,00","-0,68","735,07","14,30","16,16"
1118,2021-02-16T13:00:56,"16,26","-0,28","4.391,51","14,86","16,48"
1119,2021-02-16T14:00:56,"20,78","0,04","285,83","18,00","20,06"
1120,2021-02-16T15:00:56,"29,60","-1,15",-,"15,42","17,04"
1121,2021-02-16T16:00:56,"22,35","-1,15","1.622,02","18,81","20,43"
1122,2021-02-16T17:00:56,"25,82","-0,64",-,-,-
1123,2021-02-16T18:00:56,"26,00","-0,24",-,-,-
1124,2021-02-16T19:00:56,"30,78","-1,69",-,-,-
1125,2021-02-16T20:00:56,"23,35","-1,04",-,-,-
1126,2021-02-16T21:00:56,"19,18","-1,36",-,-,-
1127,2021-02-16T22:00:56,"16,13","1,18",-,-,-
1128,2021-02-16T23:00:56,"23,65","3,28",-,-,-
1129,2021-02-17T00:00:56,"26,87","3,39",-,-,-
1130,2021-02-17T01:00:56,"42,45","3,27",-,-,-
1131,2021-02-17T02:00:56,"36,31","2,88",-,-,-
1132,2021-02-17T03:00:56,"34,09","1,92",-,-,-
1133,2021-02-17T04:00:56,"21,57","2,45",-,-,-
