_id,name,wkt
67,09 A KARAMAN ÇEVRE YOLU A,POINT Z (32.51602592713149 37.82864465478983 0)
68,09 B KARAMAN ÇEVRE YOLU B,POINT Z (32.5167592472182 37.82887553280595 0)
69,10 A ADANA ÇEVRE YOLU YAVUZ SELİM YAYA ÜST GEÇİDİ,POINT Z (32.52204230261064 37.83484225118108 0)
70,10 B ADANA ÇEVRE YOLU YAVUZ SELİM YAYA ÜST GEÇİDİ,POINT Z (32.52222953798923 37.83457235983762 0)
71,11 AYKENT AYAKKABICILAR SAN. CAMİİ,POINT Z (32.53286400545669 37.92770515302121 0)
72,12 İHSANİYE ALT GEÇİT ÜSTÜ,POINT Z (32.48168961484907 37.87326284782279 0)
73,13 GAR İLERİSİ,POINT Z (32.47850326438572 37.86648549685065 0)
74,14 TARIM İL MÜD.,POINT Z (32.48033188947441 37.86276711832167 0)
75,15 AHMET ÖZCAN CAD İTFAİYE,POINT Z (32.48850520658543 37.85274521546544 0)
76,16 AHMET ÖZCAN  CAD TAŞ CAMİ KAVŞAĞI,POINT Z (32.49432449551422 37.8511235030843 0)
77,17 AHMET ÖZCAN CAD. KOMEK,POINT Z (32.4990622281843 37.84860895415139 0)
78,18 AHMET ÖZCAN CAD KARAMAN ALTIYOL,POINT Z (32.50864785537699 37.84844274254767 0)
79,19 FETİH CAD. - BÜYÜKKUMKÖPRÜ CAD,POINT Z (32.51584615803286 37.85376545377438 0)
80,20 FETİH CAD. - KÜÇÜK KUMKÖPRÜ CAD.,POINT Z (32.52231058153418 37.85784190185304 0)
81,21 MİLLET BAHÇESİ GİRİŞİ,POINT Z (32.48331911813279 37.86710462779646 0)
82,22 DSİ ÖNÜ,POINT Z (32.48479859834745 37.86725602930315 0)
83,23 A BALIK HALİ,POINT Z (32.48917126165749 37.86593563722153 0)
84,23 B BALIK HALİ,POINT Z (32.48989326081493 37.86589645202792 0)
85,24 FURKANDEDE CAD. OTOBÜS DURAĞI,POINT Z (32.49609829696954 37.86612722082808 0)
86,25 HAKİMİYET KAVŞAK KAR BEL ÖNÜ,POINT Z (32.50053155655728 37.86639805729878 0)
87,26 HAKİMİYET İLKOKUL ARKASI,POINT Z (32.50242732766847 37.86464975638999 0)
88,27 ESKİ GARAJ GÜNEY GİRİŞİ,POINT Z (32.50354281285821 37.86400069960779 0)
89,28 ESKİ GARAJ KUZEY GİRİŞİ,POINT Z (32.50269797041051 37.86563810924387 0)
90,29 KARATAY BELEDİYESİ GİRİŞİ,POINT Z (32.50266615504097 37.86652804318629 0)
91,30 BUĞDAY PAZARI,POINT Z (32.50078873382672 37.86764998469578 0)
92,31 A AZİZİYE CAMİİ,POINT Z (32.50149044371637 37.87002732591852 0)
93,31 B AZİZİYE CAMİİ,POINT Z (32.50143838501032 37.87012211060082 0)
94,32 KAYALI PARK HACI HASAN CAMİ,POINT Z (32.49815208138494 37.87104496262562 0)
95,33 ŞERAFETTİN CAMİİ,POINT Z (32.49888580694335 37.87218303889764 0)
96,34 İŞ BANKASI ARKA SKAK,POINT Z (32.49465972877705 37.87218754063718 0)
97,35 TAHİR PAŞA CAMİ,POINT Z (32.49128931814587 37.86994310594483 0)
98,36 BELEDİYE İŞ HANI,POINT Z (32.4881867549941 37.87683976313289 0)
99,37 BELEDİYE İŞ HANI YANI KOSKİ,POINT Z (32.48856621683407 37.87689081297689 0)
100,38 OTEL BERA,POINT Z (32.48303686075474 37.87750085663842 0)
101,39 MALİYE,POINT Z (32.48518569877668 37.87558938462282 0)
102,40 A HAZIM ULUŞAHİN ÖN TARAF,POINT Z (32.48380512578692 37.87695844923937 0)
103,40 B HAZIM ULUŞAHİN ÖN TARAF,POINT Z (32.48472198048234 37.87742569125906 0)
104,41 ENTEPE ALIŞVERİŞ MERKEZİ,POINT Z (32.49925408062857 37.88663126838174 0)
105,42 YHT GARI,POINT Z (32.49942007647063 37.8975597348764 0)
